seed,window,rate,drift_hit,drift_nohit,delta_drift,ratio_guarded,guard_triggered,frac_hit
7,12,0.0005,0.5579,0.6207,-0.0628,0.899,False,0.0833
7,13,0.0005,,0.5563,,,False,0.0
7,14,0.0005,,0.3342,,,False,0.0
7,15,0.0005,,0.4617,,,False,0.0
7,16,0.0005,,0.2123,,,False,0.0
7,17,0.0005,,0.3618,,,False,0.0
7,18,0.0005,,0.5069,,,False,0.0
7,19,0.0005,,0.6141,,,False,0.0
7,20,0.0005,,0.5419,,,False,0.0
7,21,0.0005,,0.4248,,,False,0.0
7,22,0.0005,,0.2385,,,False,0.0
7,23,0.0005,,0.2669,,,False,0.0
7,24,0.0005,,0.5743,,,False,0.0
7,25,0.0005,,0.5156,,,False,0.0
42,2,0.0005,,0.2781,,,False,0.0
42,3,0.0005,,0.1137,,,False,0.0
42,4,0.0005,,0.2678,,,False,0.0
42,5,0.0005,,0.1418,,,False,0.0
42,6,0.0005,,0.3724,,,False,0.0
42,7,0.0005,,0.124,,,False,0.0
42,8,0.0005,,0.4452,,,False,0.0
42,9,0.0005,,0.2265,,,False,0.0
42,10,0.0005,,0.4446,,,False,0.0
42,11,0.0005,,0.263,,,False,0.0
42,12,0.0005,,0.3501,,,False,0.0
42,13,0.0005,,0.3841,,,False,0.0
42,14,0.0005,,0.4613,,,False,0.1538
42,15,0.0005,0.0,0.3046,-0.3046,0.0,False,0.0556
42,16,0.0005,,0.282,,,False,0.0
42,17,0.0005,,0.5003,,,False,0.0
42,18,0.0005,,0.3905,,,False,0.0
42,19,0.0005,,0.1934,,,False,0.0526
42,20,0.0005,,0.3116,,,False,0.0
42,21,0.0005,,0.3124,,,False,0.0
42,22,0.0005,,0.6902,,,False,0.1111
42,23,0.0005,1.0,0.6226,0.3774,1.606,False,0.0909
42,24,0.0005,,0.5405,,,False,0.0
42,25,0.0005,,0.4348,,,False,0.0
55,2,0.0005,,0.1298,,,False,0.0
55,3,0.0005,,0.2086,,,False,0.0
55,4,0.0005,,0.4618,,,False,0.0
55,5,0.0005,,0.2168,,,False,0.0
55,6,0.0005,,0.4582,,,False,0.0
55,7,0.0005,,0.3218,,,False,0.0833
55,8,0.0005,,0.2326,,,False,0.0
55,9,0.0005,,0.3468,,,False,0.0
55,10,0.0005,,0.2562,,,False,0.0
55,11,0.0005,,0.4641,,,False,0.0
55,12,0.0005,,0.1953,,,False,0.0
55,13,0.0005,,0.4852,,,False,0.0
55,14,0.0005,,0.2457,,,False,0.0
55,15,0.0005,,0.3327,,,False,0.0
55,16,0.0005,,0.3005,,,False,0.0
55,17,0.0005,,0.2856,,,False,0.0
55,18,0.0005,,0.4596,,,False,0.1538
55,19,0.0005,,0.5051,,,False,0.0
55,20,0.0005,,0.3543,,,False,0.0
55,21,0.0005,,0.0288,,,False,0.0
55,22,0.0005,,1.0,,,False,0.0
55,23,0.0005,,0.688,,,False,0.0714
55,24,0.0005,,0.475,,,False,0.0
55,25,0.0005,,0.5579,,,False,0.0
123,2,0.0005,,0.3641,,,False,0.0
123,3,0.0005,,0.3963,,,False,0.0
123,4,0.0005,,0.3554,,,False,0.0
123,5,0.0005,,0.6141,,,False,0.0
123,6,0.0005,,0.4799,,,False,0.0
123,7,0.0005,,0.2263,,,False,0.0
123,8,0.0005,,0.4821,,,False,0.0
123,9,0.0005,,0.4127,,,False,0.0
123,10,0.0005,,0.5915,,,False,0.0
123,11,0.0005,,0.5502,,,False,0.1538
123,12,0.0005,,0.4596,,,False,0.0
123,13,0.0005,,0.5015,,,False,0.0
123,14,0.0005,,0.5015,,,False,0.0
123,15,0.0005,,0.5902,,,False,0.0
123,16,0.0005,,0.5351,,,False,0.0714
123,17,0.0005,,0.428,,,False,0.0
123,18,0.0005,,0.2922,,,False,0.0
123,19,0.0005,,0.1737,,,False,0.0
123,20,0.0005,,0.2286,,,False,0.0625
