window,link_id,age_r_current,max_age_r_so_far
20,"(53,4029)",0,0
20,"(2158,4275)",0,0
20,"(114,2992)",0,0
20,"(3979,4124)",0,0
20,"(2304,3462)",0,0
20,"(4205,4701)",0,0
20,"(4533,4646)",0,0
20,"(2411,4347)",0,0
20,"(2080,4513)",0,0
20,"(3599,4253)",0,0
20,"(3353,3554)",0,0
20,"(345,1405)",0,0
20,"(780,2794)",0,0
20,"(1348,2083)",0,0
20,"(2688,4332)",0,0
20,"(1601,3022)",0,0
20,"(2824,3703)",0,0
20,"(2338,2943)",0,0
20,"(1904,2422)",0,0
20,"(1150,1694)",0,0
20,"(947,3437)",0,0
20,"(1088,4379)",0,0
20,"(1440,4538)",0,0
20,"(2663,3004)",0,0
20,"(2615,3601)",0,0
20,"(219,2474)",0,0
20,"(244,2418)",0,0
20,"(1879,3947)",0,0
20,"(1513,3969)",0,0
20,"(172,443)",0,0
20,"(1048,1166)",0,0
20,"(635,1751)",0,0
20,"(3927,4970)",0,0
20,"(1470,4947)",0,0
20,"(3438,3530)",0,0
20,"(174,3527)",0,0
20,"(1441,2265)",0,0
20,"(2777,3232)",0,0
20,"(2289,4991)",0,0
20,"(1394,1631)",0,0
20,"(3010,4229)",0,0
20,"(2049,4371)",0,0
20,"(1862,2150)",0,0
20,"(2742,2837)",0,0
20,"(157,791)",0,0
20,"(1183,4979)",0,0
20,"(1338,2638)",0,0
20,"(65,3188)",0,0
20,"(2244,3383)",0,0
20,"(2182,4491)",0,0
20,"(2983,4131)",0,0
20,"(3176,4117)",0,0
20,"(1035,3805)",0,0
20,"(1439,4154)",0,0
20,"(2426,3661)",0,0
20,"(1286,4555)",0,0
20,"(740,2724)",0,0
20,"(1181,4798)",0,0
20,"(3052,4877)",0,0
20,"(4001,4272)",0,0
20,"(1422,2529)",0,0
20,"(2060,2636)",0,0
20,"(1818,2465)",0,0
20,"(1776,4683)",0,0
20,"(1616,2516)",0,0
20,"(488,4058)",0,0
20,"(2034,4606)",0,0
20,"(1126,3820)",0,0
20,"(611,2142)",0,0
20,"(39,3148)",0,0
20,"(2142,4782)",0,0
20,"(1040,3753)",0,0
20,"(1942,3561)",0,0
20,"(4024,4232)",0,0
20,"(2139,3989)",0,0
20,"(3355,3728)",0,0
20,"(3459,3785)",0,0
20,"(1153,4160)",0,0
20,"(1129,1322)",0,0
20,"(591,1796)",0,0
20,"(1645,2821)",0,0
20,"(2561,2936)",0,0
20,"(4141,4529)",0,0
20,"(236,3261)",0,0
20,"(1090,1781)",0,0
20,"(1699,3057)",0,0
20,"(122,944)",0,0
20,"(853,1917)",0,0
20,"(3719,4885)",0,0
20,"(564,3886)",0,0
20,"(666,1453)",0,0
20,"(463,4886)",0,0
20,"(2422,3617)",0,0
20,"(1674,2820)",0,0
20,"(2926,4202)",0,0
20,"(4034,4933)",0,0
20,"(476,2497)",0,0
20,"(216,3324)",0,0
20,"(2105,2634)",0,0
20,"(1967,2175)",0,0
20,"(675,3609)",0,0
20,"(1237,4544)",0,0
20,"(894,1438)",0,0
20,"(294,1293)",0,0
20,"(2698,4316)",0,0
20,"(1012,1164)",0,0
20,"(1679,4862)",0,0
20,"(1435,2021)",0,0
20,"(4663,4932)",0,0
20,"(1117,1976)",0,0
20,"(1480,2028)",0,0
20,"(1634,4072)",0,0
20,"(1133,1575)",0,0
20,"(3762,4078)",0,0
20,"(3508,4427)",0,0
20,"(911,3426)",0,0
20,"(460,1051)",0,0
20,"(3982,4732)",0,0
20,"(557,1657)",0,0
20,"(571,3627)",0,0
20,"(3361,3747)",0,0
20,"(713,2170)",0,0
20,"(3252,4972)",0,0
20,"(3214,4451)",0,0
20,"(2087,2840)",0,0
20,"(3260,3929)",0,0
20,"(57,3936)",0,0
20,"(4728,4786)",0,0
20,"(4455,4664)",0,0
20,"(850,4740)",0,0
20,"(114,3014)",0,0
20,"(905,4038)",0,0
20,"(1479,3226)",0,0
20,"(1571,4392)",0,0
20,"(2413,2609)",0,0
20,"(442,1131)",0,0
20,"(64,1328)",0,0
20,"(3489,3765)",0,0
20,"(829,902)",0,0
20,"(3658,4217)",0,0
20,"(393,1360)",0,0
20,"(2162,3377)",0,0
20,"(726,2472)",0,0
20,"(716,1375)",0,0
20,"(1601,2406)",0,0
20,"(387,2368)",0,0
20,"(2530,4712)",0,0
20,"(228,1557)",0,0
20,"(1897,4390)",0,0
20,"(2338,3086)",0,0
20,"(124,1621)",0,0
20,"(3450,4690)",0,0
20,"(1219,4039)",0,0
20,"(2843,3078)",0,0
20,"(2739,4598)",0,0
20,"(769,4742)",0,0
