seed,window,links,v_labels,alive_tracked,mean_social,mean_stability,mean_spread,mean_familiarity,count_social,count_isolated,count_deeply_connected,reciprocal_pairs,asymmetric_pairs,fam_symmetry_mean,fam_symmetry_std,att_overlap_mean,att_overlap_pairs
23,25,2845,23,23,0.445,0.6794,0.8168,8.7424,9,8,9,75,51,0.788,0.3086,33.6,223
23,26,2846,23,23,0.4469,0.6699,0.8201,9.8779,8,6,8,74,58,0.814,0.2754,31.7,230
23,27,2872,20,20,0.51,0.6661,0.7965,7.0664,9,4,4,67,49,0.7911,0.2937,33.8,183
23,28,2777,24,24,0.456,0.6672,0.8317,14.632,10,7,9,80,54,0.8135,0.2708,25.7,242
23,29,2804,22,22,0.5,0.66,0.8136,14.7474,9,3,5,69,49,0.763,0.2916,29.4,212
24,20,2909,24,24,0.4142,0.6495,0.8548,16.8078,10,10,17,54,57,0.8958,0.2041,33.9,236
24,21,2811,20,20,0.5952,0.666,0.8351,17.2111,13,4,17,83,42,0.8273,0.2453,78.9,188
24,22,2789,30,30,0.4678,0.6576,0.8283,18.4066,15,10,25,128,91,0.7989,0.2724,46.7,405
24,23,2900,25,25,0.5675,0.666,0.8226,11.6241,16,3,14,124,80,0.7776,0.2839,66.6,287
24,24,2746,31,31,0.5072,0.6605,0.8126,14.1036,15,6,21,159,113,0.7976,0.2733,46.4,416
24,25,2812,27,27,0.5595,0.6767,0.8123,9.5662,15,4,12,143,86,0.8071,0.2528,46.7,339
24,26,2804,33,33,0.4855,0.6664,0.8339,13.832,16,6,15,191,115,0.8102,0.2625,44.2,508
24,27,2826,28,28,0.5841,0.6746,0.826,10.333,17,3,14,198,80,0.8021,0.2666,61.9,373
24,28,2760,30,30,0.5717,0.66,0.8198,10.5508,19,5,14,208,89,0.7855,0.2696,53.3,417
24,29,2770,29,29,0.5997,0.6611,0.8311,12.0123,19,3,16,206,79,0.7735,0.289,53.8,396
