window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
56,4968,3138,2,5,1,1.778,1,41.0,3129,0,4.47,1.0154,3090.5,9,1.0,9,2,1,241,0.024816,0.1528,126.7606,55,12.7,0.1134,0.0257,1,1
57,4966,3044,2,5,1,1.7908,1,40.3,9,3030,4.5,0.9864,3086.1,14,1.0,10,2,1,260,0.021817,0.1446,175.0,56,11.4,0.0929,0.0332,2,1
58,4964,3065,1,5,1,1.7454,2,40.9,0,3060,4.49,0.9938,3084.1,5,1.0,8,1,3,264,0.0204,0.2048,65.7895,57,13.1,0.1136,0.0478,1,1
59,4964,3043,1,3,3,1.8706,2,40.2,0,3038,4.4,0.9879,3080.2,5,1.0,10,4,2,221,0.023488,0.1803,89.2857,58,10.5,0.112,0.0426,0,1
60,4963,3012,0,0,3,1.904,2,41.1,0,3007,4.43,0.9799,3073.7,5,1.0,9,0,1,200,0.026372,0.1667,87.7193,59,12.7,0.1083,0.0305,0,0
61,4959,3071,0,0,3,1.9316,1,40.4,0,3066,4.46,0.9992,3073.4,5,1.0,8,0,1,195,0.028869,0.1695,89.2857,60,14.8,0.1288,0.0274,0,1
62,4958,3056,0,0,3,1.8861,1,40.8,0,3056,4.46,0.9949,3071.8,0,1.0,6,0,2,170,0.037041,0.2391,0.0,61,20.0,0.1348,0.047,0,0
63,4957,3025,2,5,1,1.8451,1,40.2,6,3014,4.44,0.9862,3067.3,11,1.0,9,4,1,213,0.025478,0.1724,192.9825,62,14.0,0.0948,0.0406,1,0
64,4955,3100,1,5,3,1.8609,1,40.3,3091,0,4.41,1.0096,3070.4,9,1.0,13,5,1,250,0.02129,0.1282,121.6216,63,10.4,0.0934,0.0256,1,0
65,4952,3071,1,3,3,1.9219,2,41.5,3057,0,4.46,1.0002,3070.5,14,1.0,13,4,4,274,0.019089,0.1188,152.1739,64,11.0,0.082,0.0279,0,0
66,4950,3026,0,0,3,1.8727,2,40.7,5,3011,4.45,0.9869,3066.3,15,1.0,11,1,3,254,0.020125,0.1277,136.7442,65,13.9,0.0881,0.0302,0,0
67,4950,3054,2,5,3,1.8727,1,41.3,4,3035,4.44,0.9964,3065.1,19,1.0,10,2,3,272,0.019079,0.1519,92.3619,66,15.6,0.0886,0.0376,2,1
68,4949,3082,1,5,3,1.8568,1,40.4,3072,0,4.46,1.005,3066.7,10,1.0,10,1,1,254,0.022274,0.1566,123.4568,67,15.6,0.0979,0.0302,1,1
69,4948,3043,0,0,3,1.842,2,40.9,0,3038,4.41,0.993,3064.4,5,1.0,8,0,2,229,0.023025,0.1605,64.9351,68,18.6,0.1164,0.0222,0,1
70,4947,3088,1,3,3,1.8788,1,40.3,3080,0,4.49,1.007,3066.7,8,1.0,11,4,1,227,0.020955,0.1333,142.8571,69,14.3,0.0881,0.0285,0,0
71,4947,3012,1,5,3,1.7743,1,40.2,0,3002,4.4,0.9838,3061.5,10,1.0,14,6,3,273,0.018278,0.1294,123.4568,70,11.9,0.0853,0.0265,1,0
72,4946,3075,0,0,3,1.6692,2,41.1,3070,0,4.46,1.004,3062.8,5,1.0,12,0,2,273,0.018563,0.1222,58.8235,71,14.8,0.0792,0.0226,0,0
73,4946,3024,2,5,3,1.4703,1,39.7,3,3016,4.49,0.9885,3059.1,8,1.0,13,2,1,297,0.017941,0.1566,98.7654,72,13.9,0.0798,0.0289,1,1
74,4945,2942,0,0,3,1.3946,1,41.3,3,2939,4.43,0.9652,3047.9,3,1.0,10,0,3,272,0.018676,0.1311,52.6316,73,18.2,0.089,0.0303,0,1
75,4943,2979,0,0,3,1.2467,1,40.3,3,2976,4.35,0.9795,3041.4,3,1.0,8,0,2,206,0.02644,0.1875,49.1803,74,22.4,0.1224,0.0281,0,1
76,4943,3039,0,0,3,1.3093,1,40.7,4,3035,4.46,0.9993,3041.1,4,1.0,8,1,1,201,0.028041,0.1667,56.6038,75,23.4,0.1111,0.0333,0,0
77,4940,3024,1,5,3,1.7136,1,40.6,3,3016,4.42,0.9949,3039.5,8,1.0,9,1,0,215,0.024083,0.1618,117.6471,76,21.7,0.1029,0.0319,1,0
78,4937,3051,1,5,3,1.8727,1,39.7,3043,0,4.48,1.0034,3040.6,8,1.0,10,1,0,239,0.024658,0.1795,102.5641,77,20.4,0.0994,0.0366,1,0
79,4933,3102,0,0,3,1.8841,2,40.9,3100,0,4.49,1.0185,3046.5,3,1.0,8,0,2,239,0.025165,0.1719,51.7241,78,25.5,0.1146,0.0349,0,2
80,4932,2964,0,0,3,1.9725,1,39.9,3,2961,4.37,0.9754,3038.7,3,1.0,9,3,2,210,0.023306,0.1613,51.7241,79,23.6,0.1156,0.0324,0,0
81,4930,3144,1,5,3,1.9785,1,40.9,3162,0,4.6,1.0381,3050.9,5,1.0,9,1,1,226,0.023158,0.2059,76.9231,80,21.9,0.1201,0.0443,1,1
82,4929,3064,0,0,3,1.9788,1,39.6,3064,0,4.46,1.0039,3052.1,0,1.0,8,0,1,203,0.028481,0.1852,0.0,81,25.5,0.1296,0.0346,0,0
83,4928,3039,0,0,3,1.9699,1,41.0,1,3038,4.41,0.9961,3050.9,1,1.0,7,1,2,203,0.027146,0.2045,0.0,82,23.6,0.1409,0.0522,0,1
84,4927,3031,1,4,3,1.8968,1,39.9,4,3027,4.43,0.9941,3049.0,4,1.0,8,1,0,187,0.033024,0.2333,66.6667,83,21.5,0.12,0.0565,0,0
85,4925,3041,1,5,3,1.904,1,40.2,5,3036,4.52,0.9976,3048.2,5,1.0,8,1,1,211,0.024502,0.1702,111.1111,84,21.0,0.1234,0.0335,1,1
86,4924,3144,0,0,3,1.9363,2,41.0,3154,0,4.53,1.0339,3059.2,9,1.0,8,4,4,210,0.023293,0.1639,166.6667,85,19.8,0.1189,0.0311,0,1
87,4923,3069,1,3,3,1.9547,1,40.2,3058,0,4.46,1.0029,3060.1,11,1.0,10,5,3,198,0.02501,0.1333,185.1852,86,16.5,0.0958,0.03,0,0
88,4921,3080,1,5,3,1.9527,1,41.9,3069,0,4.47,1.0059,3062.0,11,1.0,10,3,3,218,0.024177,0.1719,150.0,87,17.3,0.0938,0.0355,1,0
89,4920,3031,0,0,3,1.9527,2,40.1,7,3024,4.44,0.9908,3059.0,7,1.0,11,3,2,213,0.022987,0.1452,122.807,88,16.5,0.0968,0.0295,0,0
