window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
168,4772,2831,0,0,0,1.8812,2,15.0,4,2827,4.36,0.9675,2926.1,4,1.0,37,4,4,808,0.001403,0.06,20.9424,162,71.5,0.0257,0.0129,0,1,0,0,0.06,0.015625,34,0.7396,8.1887,0.4109
169,4771,3008,2,5,0,1.8921,1,19.4,3005,0,4.55,1.0299,2935.3,18,1.0,43,9,3,815,0.001493,0.0441,65.3846,163,62.4,0.0236,0.0078,1,0,0,0,0.084559,0.015625,34,0.8152,8.2476,0.4108
170,4769,2886,1,5,3,1.9299,1,16.6,9,2868,4.5,0.9848,2930.6,18,1.0,43,1,1,826,0.001625,0.0554,69.2308,164,63.4,0.0242,0.0104,1,0,0,0,0.092251,0.015625,34,0.8306,8.2882,0.4106
171,4767,2970,0,0,3,1.9884,2,15.0,2965,0,4.47,1.0121,2934.4,5,1.0,40,0,3,823,0.00153,0.0526,21.0084,165,69.0,0.0242,0.0116,0,0,0,0,0.076923,0.015625,33,0.7969,8.3367,0.4103
172,4764,2927,2,5,1,1.9837,1,15.0,0,2912,4.52,0.9977,2933.7,15,1.0,41,2,1,855,0.001648,0.0472,61.2245,166,68.3,0.026,0.0104,2,0,0,0,0.094488,0.015625,33,0.8346,8.3643,0.41
173,4763,2914,0,0,1,1.9926,1,15.2,0,2904,4.51,0.9939,2931.8,10,1.0,37,0,4,825,0.00163,0.0594,47.3934,167,73.9,0.0259,0.0137,0,1,0,0,0.105023,0.015625,32,0.8512,8.4237,0.4101
174,4762,2914,2,3,1,1.8905,1,15.1,3,2901,4.47,0.9945,2930.1,13,1.0,39,2,0,826,0.001726,0.0519,57.7778,168,71.0,0.0257,0.0114,0,0,0,0,0.095238,0.015625,32,0.8359,8.4713,0.41
175,4762,2959,0,0,3,1.9049,1,14.9,2954,0,4.49,1.0089,2932.9,5,1.0,39,0,0,826,0.0015,0.0471,20.0803,169,72.0,0.0261,0.0085,0,0,0,0,0.117647,0.015625,32,0.8672,8.5027,0.4101
176,4761,2969,1,3,3,1.9494,1,15.1,2962,0,4.56,1.0111,2936.3,7,1.0,40,2,1,842,0.001593,0.0494,27.1318,170,71.2,0.0246,0.0087,0,0,0,0,0.106464,0.015625,33,0.8532,8.5787,0.4103
177,4760,2894,1,5,3,1.9351,1,14.9,6,2883,4.51,0.9869,2932.3,11,1.0,41,1,0,854,0.001674,0.0494,44.0,171,70.4,0.024,0.0098,1,0,0,0,0.079848,0.015625,33,0.8043,8.6509,0.4102
178,4758,2988,2,5,1,1.866,2,15.1,2972,0,4.5,1.0172,2937.6,16,1.0,43,3,1,902,0.001635,0.0451,52.8169,172,68.1,0.0221,0.009,1,0,0,0,0.097222,0.015625,36,0.8393,8.7134,0.4102
179,4758,2911,0,0,3,1.933,2,14.9,6,2900,4.48,0.9918,2935.0,11,1.0,42,0,1,892,0.001528,0.0558,45.2675,173,70.6,0.0225,0.011,0,1,0,0,0.075697,0.015625,35,0.7936,8.7852,0.4099
180,4758,2974,1,5,1,1.987,1,15.1,2961,0,4.48,1.0123,2938.8,14,1.0,43,1,0,901,0.001514,0.0456,54.4747,174,69.9,0.0235,0.0086,1,0,0,0,0.079848,0.015625,35,0.8043,8.8346,0.4096
181,4756,2902,2,4,1,1.9785,1,15.0,6,2881,4.42,0.9886,2935.3,21,1.0,46,5,2,936,0.001493,0.0421,75.8123,175,66.2,0.0215,0.009,0,0,0,0,0.077193,0.015625,37,0.7976,8.9118,0.4094
182,4754,2947,1,4,1,1.9363,2,14.9,2933,0,4.45,1.0036,2936.5,14,1.0,45,1,2,930,0.00154,0.0469,53.2319,176,68.4,0.0208,0.0114,0,1,0,0,0.079422,0.015625,37,0.8033,8.9623,0.4086
183,4754,2884,0,0,1,1.9589,2,15.0,1,2878,4.46,0.9838,2931.5,6,1.0,43,1,3,893,0.00136,0.0544,17.7936,177,71.7,0.0244,0.0108,0,2,0,0,0.112245,0.015625,35,0.8608,9.0546,0.4083
184,4753,2865,2,5,0,1.9589,1,14.8,10,2850,4.42,0.9794,2925.1,15,1.0,46,8,5,922,0.001559,0.0408,55.3191,178,67.9,0.0226,0.0079,1,0,0,0,0.061224,0.015625,38,0.7448,9.1159,0.4074
185,4753,2924,2,5,2,1.7057,1,15.0,7,2907,4.51,0.9997,2925.0,17,1.0,46,2,2,945,0.001541,0.05,63.4921,179,68.7,0.0208,0.0087,1,0,0,0,0.073077,0.015625,37,0.7862,9.1889,0.4066
186,4752,2933,4,5,1,1.9332,2,15.1,2909,0,4.43,1.0025,2925.8,24,1.0,50,7,3,1007,0.001917,0.0433,71.6612,180,63.3,0.019,0.0097,1,1,0,0,0.117647,0.015625,38,0.8672,9.3066,0.4059
187,4752,3007,0,0,1,1.9172,2,15.1,2994,0,4.52,1.026,2933.8,16,1.0,48,0,2,975,0.001672,0.0498,49.0196,181,66.9,0.0208,0.0092,0,0,0,0,0.109034,0.015625,37,0.8567,9.4156,0.4052
188,4750,2908,1,5,1,1.9728,1,15.1,21,2886,4.45,0.992,2931.3,22,1.0,49,3,2,1001,0.00142,0.0399,58.2889,182,66.5,0.0197,0.0077,1,0,0,0,0.089701,0.015625,37,0.8258,9.5053,0.4042
189,4748,2928,1,4,2,1.9785,1,15.1,8,2917,4.49,0.999,2931.0,11,1.0,45,1,5,999,0.001505,0.0414,39.5683,183,73.0,0.0227,0.0085,0,0,0,0,0.103448,0.015625,38,0.849,9.6088,0.4036
190,4748,2911,1,5,1,1.985,2,20.0,3,2903,4.4,0.9938,2929.1,8,1.0,45,1,1,959,0.00146,0.0446,30.303,184,74.0,0.023,0.0108,1,1,0,0,0.096654,0.015625,36,0.8383,9.7054,0.403
191,4745,2866,0,0,3,1.9666,2,14.9,0,2861,4.44,0.9805,2923.1,5,1.0,43,0,2,911,0.001584,0.0567,21.097,178,74.0,0.0244,0.0113,0,0,0,0,0.129555,0.015625,33,0.8794,9.835,0.4027
192,4745,2818,1,3,1,1.9495,1,19.1,0,2815,4.35,0.9674,2913.1,3,1.0,43,2,2,930,0.001286,0.0402,12.5523,179,74.8,0.0237,0.0086,0,0,0,0,0.108434,0.015625,33,0.8559,9.9434,0.4023
193,4740,2916,2,5,1,1.9651,1,21.8,2899,0,4.43,1.0009,2913.4,17,1.0,48,9,4,985,0.001319,0.0432,54.9828,180,67.9,0.0208,0.0088,2,0,0,0,0.116279,0.015625,35,0.8656,10.0597,0.4021
