window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node
158,4808,2912,1,3,3,1.9646,1,177.3,3,2901,4.46,0.981,2968.4,11,1.0,15,5,3,287,0.016177,0.125,125.0,21,5.1,0.0707,0.0265,0,0
159,4805,2954,1,3,3,1.9,1,165.8,9,2941,4.47,0.9956,2967.0,13,1.0,16,9,8,321,0.014139,0.115,106.7961,22,4.8,0.0639,0.0226,0,0
160,4805,2922,3,5,1,1.9654,2,178.7,9,2901,4.47,0.9863,2962.7,21,1.0,17,9,8,357,0.013581,0.1078,186.6593,23,4.8,0.0621,0.0223,1,1
161,4801,2938,0,0,3,1.947,2,166.5,9,2929,4.38,0.9924,2960.4,9,1.0,18,3,2,327,0.014647,0.1359,80.0,24,5.5,0.0615,0.0259,0,0
162,4799,3023,0,0,3,1.9583,1,173.2,3017,0,4.5,1.0191,2966.3,6,1.0,15,0,3,317,0.015469,0.122,76.9231,25,7.3,0.0759,0.0286,0,0
163,4798,2883,2,5,3,1.9544,1,167.0,3,2870,4.43,0.9745,2958.4,13,1.0,14,4,5,323,0.014214,0.1075,154.7619,26,7.9,0.0688,0.0213,1,0
164,4794,2984,0,0,3,1.8961,1,165.6,2975,0,4.48,1.0078,2960.8,9,1.0,11,4,7,275,0.016093,0.117,93.0233,27,9.5,0.0827,0.0217,0,1
165,4791,3054,1,5,3,1.8217,1,162.7,3047,0,4.55,1.029,2969.9,9,1.0,11,1,1,262,0.019712,0.1348,43.6618,28,10.4,0.0865,0.0283,1,0
166,4789,2995,1,5,3,1.8879,1,167.7,2987,0,4.53,1.0076,2972.3,8,1.0,10,1,2,277,0.019623,0.1412,35.9753,29,9.8,0.098,0.0271,1,2
167,4788,2941,2,5,3,1.9197,2,175.2,11,2925,4.46,0.9905,2969.3,16,1.0,14,7,3,295,0.016124,0.1236,58.1098,30,7.7,0.0775,0.0285,1,0
168,4786,2952,2,4,1,1.9957,2,165.6,0,2947,4.48,0.9947,2967.7,5,1.0,13,2,3,309,0.01551,0.1165,41.6667,31,9.0,0.0777,0.0217,0,1
169,4786,2851,2,5,1,1.9943,2,176.0,4,2838,4.43,0.9643,2956.5,13,1.0,11,2,4,321,0.016505,0.1579,142.8571,32,9.3,0.0842,0.0295,2,3
170,4783,2917,0,0,1,1.9926,2,165.2,0,2917,4.44,0.9879,2952.8,0,1.0,11,0,0,232,0.02221,0.1867,0.0,33,10.3,0.0967,0.0397,0,0
171,4783,2958,0,0,3,1.9926,1,172.8,2953,0,4.44,1.0016,2953.3,5,1.0,12,5,4,256,0.01846,0.1449,78.125,34,10.0,0.087,0.0261,0,0
172,4782,2970,1,5,3,1.9742,1,170.5,2960,0,4.56,1.0051,2954.9,10,1.0,11,1,2,262,0.019716,0.1739,153.8462,35,8.9,0.087,0.0355,1,1
173,4780,2918,2,5,3,1.9899,1,166.6,0,2898,4.56,0.9887,2951.4,20,1.0,11,2,2,266,0.019867,0.134,222.2222,36,8.8,0.0905,0.0282,2,1
174,4779,2983,0,0,3,1.9387,2,175.8,2971,0,4.55,1.0097,2954.4,12,1.0,10,2,3,250,0.02009,0.1944,161.7647,37,10.2,0.1003,0.0464,0,0
175,4778,3000,0,0,3,1.9438,1,167.3,2996,0,4.52,1.0143,2958.8,5,1.0,9,0,1,221,0.025694,0.1772,67.5676,38,12.3,0.1069,0.0431,0,0
176,4777,2894,2,5,3,1.9383,1,176.0,0,2885,4.4,0.9801,2952.6,9,1.0,9,2,2,255,0.021175,0.1618,145.1613,39,10.3,0.1013,0.0328,2,2
177,4777,3036,1,4,1,1.953,1,166.7,3029,0,4.53,1.0267,2961.0,11,1.0,13,8,4,266,0.017261,0.1078,104.1667,40,7.8,0.0773,0.0183,0,0
178,4774,2926,0,0,1,1.9314,2,175.8,0,2926,4.39,0.9893,2957.6,0,1.0,13,0,0,248,0.020601,0.1538,0.0,41,8.8,0.0821,0.0319,0,0
