seed,window,rate,k,tc,H,drift,J,tH,tD,tP,k_star
42,17,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,17,0.0,1,1,-0.0,0.2559,-0.2441,-0.0,0.2559,-0.5,3
42,17,0.0,2,1,-0.0,0.3714,-0.1286,-0.0,0.3714,-0.5,3
42,17,0.0,3,2,0.8113,0.5,0.5188,0.8113,0.5,-0.7925,3
42,17,0.0,4,2,0.8113,0.5,0.5188,0.8113,0.5,-0.7925,3
42,18,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,18,0.0,1,2,0.3228,0.1734,-0.2963,0.3228,0.1734,-0.7925,3
42,18,0.0,2,2,0.3228,0.1734,-0.2963,0.3228,0.1734,-0.7925,3
42,18,0.0,3,3,0.978,0.1845,0.1625,0.978,0.1845,-1.0,3
42,18,0.0,4,3,0.978,0.1845,0.1625,0.978,0.1845,-1.0,3
42,19,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,19,0.0,1,3,1.1981,0.3388,0.5369,1.1981,0.3388,-1.0,3
42,19,0.0,2,4,1.8352,0.6372,1.3114,1.8352,0.6372,-1.161,3
42,19,0.0,3,4,1.8352,0.8153,1.4895,1.8352,0.8153,-1.161,3
42,19,0.0,4,4,1.8352,0.8153,1.4895,1.8352,0.8153,-1.161,3
42,20,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,20,0.0,1,1,-0.0,0.4548,-0.0452,-0.0,0.4548,-0.5,3
42,20,0.0,2,1,-0.0,0.7133,0.2133,-0.0,0.7133,-0.5,3
42,20,0.0,3,2,0.5226,0.9079,0.638,0.5226,0.9079,-0.7925,3
42,20,0.0,4,2,0.5226,0.9079,0.638,0.5226,0.9079,-0.7925,3
42,21,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,21,0.0,1,3,0.9133,0.338,0.2513,0.9133,0.338,-1.0,3
42,21,0.0,2,4,1.4832,0.4631,0.7853,1.4832,0.4631,-1.161,3
42,21,0.0,3,4,1.4832,0.508,0.8302,1.4832,0.508,-1.161,3
42,21,0.0,4,4,1.4832,0.508,0.8302,1.4832,0.508,-1.161,3
42,22,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,22,0.0,1,3,1.2516,0.1622,0.4138,1.2516,0.1622,-1.0,3
42,22,0.0,2,4,1.8879,0.2148,0.9417,1.8879,0.2148,-1.161,3
42,22,0.0,3,5,2.2925,0.4184,1.4184,2.2925,0.4184,-1.2925,3
42,22,0.0,4,5,2.2925,0.4184,1.4184,2.2925,0.4184,-1.2925,3
42,23,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,23,0.0,1,2,0.7219,0.298,0.2274,0.7219,0.298,-0.7925,3
42,23,0.0,2,3,1.2419,0.3441,0.586,1.2419,0.3441,-1.0,3
42,23,0.0,3,3,1.2419,0.5017,0.7436,1.2419,0.5017,-1.0,3
42,23,0.0,4,3,1.2419,0.5017,0.7436,1.2419,0.5017,-1.0,3
42,24,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,24,0.0,1,3,0.5907,0.2476,-0.1617,0.5907,0.2476,-1.0,3
42,24,0.0,2,4,1.0583,0.2536,0.1509,1.0583,0.2536,-1.161,3
42,24,0.0,3,5,1.3372,0.2969,0.3416,1.3372,0.2969,-1.2925,3
42,24,0.0,4,5,1.3372,0.2969,0.3416,1.3372,0.2969,-1.2925,3
42,25,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
42,25,0.0,1,2,0.5665,0.1988,-0.0272,0.5665,0.1988,-0.7925,3
42,25,0.0,2,3,0.9056,0.2063,0.1119,0.9056,0.2063,-1.0,3
42,25,0.0,3,4,1.6895,0.383,0.9115,1.6895,0.383,-1.161,3
42,25,0.0,4,4,1.6895,0.383,0.9115,1.6895,0.383,-1.161,3
55,1,0.0,0,1,-0.0,,-0.5,-0.0,0,-0.5,3
55,1,0.0,1,3,0.4645,,-0.5355,0.4645,0,-1.0,3
55,1,0.0,2,4,0.8141,,-0.3469,0.8141,0,-1.161,3
55,1,0.0,3,5,1.0574,,-0.2351,1.0574,0,-1.2925,3
55,1,0.0,4,5,1.0574,,-0.2351,1.0574,0,-1.2925,3
55,2,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,0
55,2,0.0,1,3,0.2625,0.0843,-0.6532,0.2625,0.0843,-1.0,0
55,2,0.0,2,4,0.489,0.1054,-0.5666,0.489,0.1054,-1.161,0
55,2,0.0,3,5,0.5836,0.136,-0.5729,0.5836,0.136,-1.2925,0
55,2,0.0,4,5,0.5836,0.136,-0.5729,0.5836,0.136,-1.2925,0
55,3,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,3,0.0,1,2,0.4262,0.1411,-0.2252,0.4262,0.1411,-0.7925,3
55,3,0.0,2,3,0.6784,0.1424,-0.1792,0.6784,0.1424,-1.0,3
55,3,0.0,3,3,0.6784,0.1618,-0.1598,0.6784,0.1618,-1.0,3
55,3,0.0,4,3,0.6784,0.1618,-0.1598,0.6784,0.1618,-1.0,3
55,4,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,4,0.0,1,2,0.6723,0.1134,-0.0068,0.6723,0.1134,-0.7925,3
55,4,0.0,2,3,1.1596,0.1736,0.3332,1.1596,0.1736,-1.0,3
55,4,0.0,3,4,1.8078,0.4303,1.0771,1.8078,0.4303,-1.161,3
55,4,0.0,4,4,1.8078,0.4303,1.0771,1.8078,0.4303,-1.161,3
55,5,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
55,5,0.0,1,2,0.5033,0.3804,0.0912,0.5033,0.3804,-0.7925,3
