seed,window,rate,k_star,J,tc,H
999,22,0.0005,3,0.8013,4,1.5488
999,23,0.0005,4,1.2332,4,1.8424
999,24,0.0005,2,0.1782,2,0.4395
999,25,0.0005,3,0.3141,2,0.7219
1337,1,0.0005,3,-0.4689,5,0.8236
1337,2,0.0005,3,0.9983,4,1.7623
1337,3,0.0005,3,0.3046,4,0.9882
1337,4,0.0005,3,0.4849,4,1.3568
1337,5,0.0005,4,0.6365,5,1.5158
1337,6,0.0005,4,0.6968,4,1.4372
1337,7,0.0005,4,0.2745,3,0.7732
1337,8,0.0005,4,-0.2144,1,-0.0
1337,9,0.0005,3,0.9383,5,1.736
1337,10,0.0005,3,0.2789,4,1.2332
1337,11,0.0005,3,0.9411,3,1.5
1337,12,0.0005,4,1.3494,6,2.3551
1337,13,0.0005,3,0.1875,1,-0.0
1337,14,0.0005,3,0.8447,4,1.5275
1337,15,0.0005,3,0.7752,4,1.5738
1337,16,0.0005,3,0.2942,2,0.5436
1337,17,0.0005,4,1.2906,5,2.0419
1337,18,0.0005,4,0.3846,4,1.1401
1337,19,0.0005,3,0.597,2,0.9968
1337,20,0.0005,3,0.9319,4,1.5546
1337,21,0.0005,3,1.1038,4,1.7968
1337,22,0.0005,3,1.0518,4,1.7759
1337,23,0.0005,3,0.9572,4,1.6645
1337,24,0.0005,3,0.6683,4,1.6258
1337,25,0.0005,3,1.1918,4,1.7885
2024,1,0.0005,3,0.0169,5,1.3094
2024,2,0.0005,3,-0.0227,4,0.9728
2024,3,0.0005,3,-0.0199,4,1.0984
2024,4,0.0005,4,0.6355,5,1.5589
2024,5,0.0005,4,0.0784,2,0.4855
2024,6,0.0005,3,1.0298,5,1.88
2024,7,0.0005,4,1.0708,4,1.761
2024,8,0.0005,4,0.3855,4,1.0219
2024,9,0.0005,3,0.0317,2,0.4395
2024,10,0.0005,3,-0.2832,1,-0.0
2024,11,0.0005,3,-0.2764,2,0.3373
2024,12,0.0005,3,0.7169,4,1.5003
2024,13,0.0005,3,0.6541,3,1.1488
2024,14,0.0005,3,1.0762,3,1.5219
2024,15,0.0005,3,0.2364,2,0.5665
2024,16,0.0005,3,0.2749,4,1.1451
2024,17,0.0005,4,0.3446,3,0.9913
2024,18,0.0005,3,0.8532,2,0.9544
2024,19,0.0005,3,0.3147,2,1.0
2024,20,0.0005,3,0.4774,3,0.8684
2024,21,0.0005,3,0.9812,5,1.8811
2024,22,0.0005,3,0.9816,4,1.8464
2024,23,0.0005,4,0.7451,6,1.8183
2024,24,0.0005,4,0.2544,4,1.1451
2024,25,0.0005,3,1.2096,4,1.9056
7,1,0.001,0,-0.5,1,-0.0
7,2,0.001,3,0.0915,5,1.164
7,3,0.001,4,0.0888,5,1.1064
7,4,0.001,4,-0.1188,2,0.4395
7,5,0.001,4,0.2163,5,1.2086
7,6,0.001,4,0.2674,4,1.0374
7,7,0.001,2,0.1313,3,0.9864
7,8,0.001,2,0.272,4,1.2366
7,9,0.001,2,0.9374,4,1.7899
7,10,0.001,4,0.7472,5,1.4886
7,11,0.001,4,0.3137,4,1.1542
7,12,0.001,4,0.5349,3,1.0409
7,13,0.001,4,0.1007,2,0.469
7,14,0.001,3,1.6653,5,2.1972
7,15,0.001,3,0.3599,1,-0.0
7,16,0.001,3,0.6979,5,1.5535
7,17,0.001,3,0.2459,3,0.9864
7,18,0.001,4,0.5405,3,1.1596
