window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
128,4757,3060,0,0,3,1.835,2,13.9,3057,0,4.58,1.0095,3037.3,9,1.0,78,4,4,1427,0.000834,0.0325,20.4545,127,58.8,0.0138,0.0057,0,0,0,0,0.060738,0.015625,45,0.7427,6.4125,0.4036,28,4,46,815,1199,507,0.0006,0.9994,540.0,4.1,0.0513,0.008677,0.006018,1.4417,1.0442,0
129,4756,3053,1,5,3,1.933,1,13.8,3036,0,4.59,1.0013,3049.1,17,1.0,80,9,7,1463,0.000848,0.0288,34.5572,128,57.9,0.0135,0.0057,1,1,0,0,0.053498,0.015625,46,0.7079,6.4516,0.4033,29,7,44,803,1181,491,0.0008,0.9992,553.8,3.9,0.0512,0.012346,0.006621,1.8646,1.0865,0
130,4756,3055,1,4,3,1.8826,1,13.8,3049,0,4.65,1.0041,3050.4,14,1.0,80,1,1,1431,0.000987,0.0316,28.8066,129,58.9,0.013,0.0058,0,0,0,0,0.059289,0.015625,44,0.7365,6.5108,0.4031,29,6,45,799,1208,491,0.0011,0.9989,567.1,3.9,0.0512,0.003953,0.006367,0.6208,0.9621,0
131,4755,3063,1,4,3,1.9007,2,13.8,3073,0,4.61,1.0113,3042.7,4,1.0,78,1,3,1418,0.000778,0.0254,6.5789,130,60.6,0.0138,0.0061,0,1,0,0,0.067797,0.015625,44,0.7695,6.5786,0.4031,29,5,44,783,1206,473,0.0006,0.9994,540.0,4.0,0.0513,0.004237,0.006164,0.6874,0.9687,0
132,4755,3012,0,0,3,1.8908,2,13.9,3,3009,4.6,0.9916,3037.5,3,1.0,77,3,4,1421,0.000728,0.0286,4.5872,131,62.1,0.0139,0.006,0,0,0,0,0.048352,0.015625,45,0.6768,6.6226,0.4025,29,5,43,782,1213,479,0.0007,0.9993,552.8,4.0,0.0514,0.008791,0.006414,1.3706,1.0371,0
133,4754,3062,1,3,3,1.948,1,13.9,3075,0,4.55,1.0105,3047.0,4,1.0,74,3,6,1402,0.000692,0.0322,9.1533,132,64.4,0.0146,0.0059,0,0,0,0,0.064378,0.015625,43,0.7573,6.687,0.4025,28,4,42,787,1245,471,0.0011,0.9989,524.4,4.0,0.0507,0.012876,0.00703,1.8316,1.0832,0
134,4753,3060,0,0,3,1.9194,1,13.9,3068,0,4.54,1.0075,3048.1,3,1.0,71,3,6,1350,0.000784,0.037,0.0,133,65.5,0.0154,0.0064,0,1,0,0,0.060185,0.015625,43,0.7404,6.7356,0.4026,28,4,39,757,1235,506,0.0012,0.9988,536.4,4.1,0.0507,0.011574,0.007462,1.551,1.0551,0
135,4753,3065,1,3,1,1.8609,1,13.8,3071,0,4.56,1.0044,3057.5,0,1.0,70,1,2,1342,0.000719,0.0259,0.0,134,67.4,0.0141,0.0057,0,0,0,0,0.054404,0.015625,42,0.7128,6.79,0.4026,28,5,37,798,1208,517,0.0009,0.9991,556.9,4.0,0.0514,0.010363,0.007739,1.3391,1.0339,0
136,4751,2971,3,5,1,1.8169,1,13.9,8,2958,4.54,0.9775,3039.5,13,1.0,73,3,0,1373,0.000873,0.0339,30.5882,135,65.6,0.0142,0.0064,2,0,0,0,0.056433,0.015625,42,0.7231,6.8148,0.4021,28,5,40,781,1145,487,0.0008,0.9992,573.4,4.1,0.0513,0,0.007002,0.0,0.9,0
137,4751,3051,0,0,3,1.9345,2,13.9,3065,0,4.59,1.0112,3034.0,3,1.0,72,0,1,1359,0.000703,0.03,6.6964,136,65.8,0.0146,0.0059,0,0,0,0,0.053533,0.015625,42,0.7081,6.8619,0.4018,27,5,40,798,1179,516,0.0007,0.9993,583.3,4.2,0.0513,0.0,0.006335,0.0,0.9,0
