seed,from,to,familiarity
28,108,173,5.8354
28,108,172,33.6707
28,108,168,10.9112
28,108,178,12.069
28,108,184,1.3496
28,108,193,8.4093
28,108,187,20.7436
28,108,188,13.7172
28,108,186,24.0961
28,108,194,15.9389
28,108,200,0.5103
28,108,199,3.0836
28,108,190,0.6988
28,108,195,21.22
