seed,rate,window,J3,H3,tc3,drift3,none_ratio,weak_ratio,mid_strong_ratio,n_C
314,0.0005,2,0.0118,0.9111,4,0.2617,0.8857,0.0286,0.0857,70
314,0.0005,7,0.8087,1.5016,4,0.468,0.75,0.0625,0.1875,16
314,0.0005,8,-0.032,-0.0,1,0.468,1.0,0.0,0.0,16
314,0.0005,9,0.5229,1.2772,4,0.4067,0.7647,0.1765,0.0588,17
314,0.0005,12,0.7461,1.2608,3,0.4853,0.6471,0.2353,0.1176,17
314,0.0005,15,0.1087,-0.0,1,0.6087,1.0,0.0,0.0,12
314,0.0005,16,1.5628,1.9713,4,0.7524,0.5294,0.1765,0.2941,17
314,0.0005,17,0.8432,1.7652,4,0.2389,0.6667,0.1111,0.2222,18
314,0.0005,18,0.2353,0.7345,3,0.5008,0.9286,0.0,0.0714,14
314,0.0005,19,0.3224,1.1451,4,0.3383,0.8462,0.0769,0.0769,13
314,0.0005,20,0.9268,1.6574,4,0.4303,0.7368,0.0,0.2632,19
314,0.0005,24,0.5035,0.7554,2,0.5406,0.7826,0.2174,0.0,23
456,0.0005,1,-0.2589,1.0336,5,,0.8614,0.0693,0.0693,101
456,0.0005,3,0.416,1.4473,5,0.2612,0.8261,0.0435,0.1304,23
456,0.0005,4,0.7761,1.8811,5,0.1875,0.6923,0.1538,0.1538,13
456,0.0005,20,0.7702,1.3294,3,0.4408,0.625,0.1875,0.1875,16
456,0.0005,21,1.5622,2.2892,5,0.5654,0.4667,0.2,0.3333,15
456,0.0005,22,0.281,-0.0,1,0.781,1.0,0.0,0.0,16
456,0.0005,23,0.4607,1.2366,4,0.385,0.8,0.0667,0.1333,15
456,0.0005,24,-0.115,-0.0,1,0.385,1.0,0.0,0.0,8
456,0.0005,25,0.2363,1.0534,4,0.3439,0.8261,0.1304,0.0435,23
789,0.0005,2,-0.0791,1.0115,5,0.2019,0.8452,0.1071,0.0476,84
789,0.0005,5,0.0816,-0.0,1,0.5816,1.0,0.0,0.0,13
789,0.0005,6,0.4468,1.0529,3,0.3939,0.7222,0.2222,0.0556,18
789,0.0005,7,0.3086,0.7219,2,0.3792,0.8,0.0,0.2,15
789,0.0005,9,0.4284,1.4082,5,0.3127,0.7917,0.125,0.0833,24
789,0.0005,10,0.6156,1.7723,5,0.1357,0.6667,0.1905,0.1429,21
789,0.0005,11,0.6146,1.4466,4,0.3289,0.7778,0.0,0.2222,9
789,0.0005,12,-0.036,0.2975,2,0.459,0.9474,0.0526,0.0,19
789,0.0005,13,-0.2692,0.4537,2,0.0696,0.9048,0.0952,0.0,21
789,0.0005,14,-0.0334,0.6402,3,0.3264,0.9412,0.0,0.0588,17
789,0.0005,15,1.242,2.0742,5,0.4603,0.6429,0.1429,0.2143,14
789,0.0005,16,0.7869,1.9254,5,0.154,0.6471,0.0588,0.2941,17
789,0.0005,17,0.8467,1.6258,4,0.3818,0.5833,0.3333,0.0833,12
789,0.0005,18,0.7606,1.4838,4,0.4377,0.7857,0.0714,0.1429,14
789,0.0005,21,0.6111,1.6184,4,0.1537,0.7059,0.1176,0.1765,17
789,0.0005,22,0.0399,0.4138,2,0.4186,0.9167,0.0833,0.0,12
789,0.0005,23,0.6908,1.6137,5,0.3696,0.7647,0.1176,0.1176,17
789,0.0005,24,-0.0769,0.3373,2,0.3783,0.9375,0.0625,0.0,16
789,0.0005,25,1.3472,1.9183,4,0.5899,0.5,0.3333,0.1667,6
