N,seed,plb,rate,quiet_steps,n_windows,policy,hyst_threshold,dominant_k,dominant_k_fraction,switch_count,switches_per_100,time_stable,first_half_dom,second_half_dom,k_dist,mean_margin,pct_close_002,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C,elapsed
200,2024,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.88,4,4.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 22}",0.1504,32.0,0.88,1.92,0.8669,20.7,26.5
200,314,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.92,3,3.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 23}",0.1726,24.0,0.92,2.12,0.8543,20.9,26.6
200,42,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.88,3,3.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 1, ""4"": 22}",0.0812,48.0,1.36,2.48,0.8459,21.3,26.7
200,456,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.8,5,5.0,True,4,4,"{""0"": 0, ""1"": 3, ""2"": 0, ""3"": 2, ""4"": 20}",0.2119,28.0,1.0,2.12,0.8666,19.9,26.6
200,55,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.92,2,2.0,True,4,4,"{""0"": 1, ""1"": 1, ""2"": 0, ""3"": 0, ""4"": 23}",0.1702,20.0,1.32,2.44,0.788,23.3,26.8
200,7,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.84,4,4.0,True,4,4,"{""0"": 0, ""1"": 3, ""2"": 0, ""3"": 1, ""4"": 21}",0.1418,44.0,1.28,2.56,0.7931,19.3,26.6
200,789,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.8,7,7.0,True,4,4,"{""0"": 2, ""1"": 2, ""2"": 0, ""3"": 1, ""4"": 20}",0.1759,16.0,1.2,2.08,0.8873,24.2,26.5
200,999,0.008,0.002,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.1384,28.0,0.84,2.28,0.8483,20.9,26.7
200,123,0.008,0.005,5000,25,hyst_0.01,0.01,4,1.0,0,0.0,True,4,4,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 25}",0.2742,24.0,1.4,2.6,0.8315,21.2,26.7
200,1337,0.008,0.005,5000,25,hyst_0.01,0.01,4,0.96,1,1.0,True,4,4,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 24}",0.3159,8.0,1.0,1.64,0.8418,21.2,27.1
