seed,window,lid,n_core,s_avg,r_core,rho,links_total,log10_pbirth,B,b_gen_old
0,64,380,2,0.112125,0.979689,0.000212,2648,-11.7299,11.7299,0.219695
0,64,381,2,0.02838,0.9922,0.000212,2648,-12.3211,12.3211,0.056317
0,64,383,2,0.013597,0.36445,0.000212,2648,-13.0756,13.0756,0.009911
0,65,384,2,0.046863,0.737837,0.000205,2567,-12.2454,12.2454,0.069154
0,65,386,2,0.008758,0.891074,0.000205,2567,-12.8919,12.8919,0.015608
0,65,388,2,0.010448,0.899435,0.000205,2567,-12.8112,12.8112,0.018795
0,65,390,2,0.268351,0.999222,0.000205,2567,-11.3559,11.3559,0.536284
0,65,391,2,0.008826,0.987664,0.000205,2567,-12.8438,12.8438,0.017435
0,65,392,2,0.046463,0.985287,0.000205,2567,-12.1236,12.1236,0.091558
0,65,396,2,0.024667,0.994288,0.000205,2567,-12.3946,12.3946,0.049052
0,65,397,2,0.0207,0.999943,0.000205,2567,-12.4683,12.4683,0.041397
0,65,398,2,0.012434,1.0,0.000205,2567,-12.6896,12.6896,0.024869
0,65,399,2,0.011718,0.906822,0.000205,2567,-12.7578,12.7578,0.021252
0,65,401,2,0.118857,0.595566,0.000205,2567,-11.9343,11.9343,0.141575
0,65,402,2,0.020112,0.998848,0.000205,2567,-12.4813,12.4813,0.040177
0,65,403,2,0.056069,0.96079,0.000205,2567,-12.0529,12.0529,0.107741
0,65,407,2,0.132405,0.970014,0.000205,2567,-11.6755,11.6755,0.256869
0,65,408,2,0.048577,0.782829,0.000205,2567,-12.2041,12.2041,0.076055
0,66,409,2,0.010603,0.991969,0.0002,2497,-12.7743,12.7743,0.021035
0,66,410,2,0.010729,0.984967,0.0002,2497,-12.7722,12.7722,0.021136
0,66,411,2,0.621048,0.999918,0.0002,2497,-11.0031,11.0031,1.241993
0,66,412,2,0.055285,0.899108,0.0002,2497,-12.0998,12.0998,0.099414
0,66,413,2,0.675287,0.89766,0.0002,2497,-11.0136,11.0136,1.212356
0,67,418,3,0.342835,0.942771,0.000206,2575,-18.6716,18.6716,0.969645
0,67,419,2,0.020635,0.99328,0.000206,2575,-12.4712,12.4712,0.040993
0,67,420,2,0.011417,0.91787,0.000206,2575,-12.7625,12.7625,0.020959
0,67,423,2,0.123527,0.965395,0.000206,2575,-11.7064,11.7064,0.238506
0,68,424,4,0.402743,0.901774,0.000195,2431,-25.8679,25.8679,1.452731
0,68,425,5,0.352114,0.73358,0.000195,2431,-33.6104,33.6104,1.291517
0,68,426,2,0.516614,0.998307,0.000195,2431,-11.0954,11.0954,1.031478
0,68,427,2,0.647803,0.989922,0.000195,2431,-11.0008,11.0008,1.282549
0,68,429,2,0.324957,0.993887,0.000195,2431,-11.2987,11.2987,0.645942
0,68,431,2,0.120161,0.763039,0.000195,2431,-11.8456,11.8456,0.183376
0,68,432,2,0.384451,0.962588,0.000195,2431,-11.2396,11.2396,0.740137
0,68,434,2,0.094959,0.991747,0.000195,2431,-11.8339,11.8339,0.188351
1,0,0,4,0.388278,0.654689,0.00025,3119,-26.008,26.008,1.016806
1,0,1,4,0.467544,0.929655,0.00025,3119,-25.3091,25.3091,1.738617
1,0,2,2,0.189752,0.329637,0.00025,3119,-11.9034,11.9034,0.125099
1,0,4,2,0.044128,0.999276,0.00025,3119,-12.0552,12.0552,0.088192
1,0,6,2,0.032897,0.691042,0.00025,3119,-12.343,12.343,0.045466
1,0,8,2,0.064873,0.762285,0.00025,3119,-12.0054,12.0054,0.098904
1,0,10,2,0.014493,0.761821,0.00025,3119,-12.6566,12.6566,0.022083
1,0,11,2,0.166241,0.995789,0.00025,3119,-11.4807,11.4807,0.331081
1,0,12,2,0.06235,0.995645,0.00025,3119,-11.9067,11.9067,0.124156
1,0,13,2,0.446221,0.939584,0.00025,3119,-11.0771,11.0771,0.838524
1,0,14,2,0.012492,0.396354,0.00025,3119,-13.0049,13.0049,0.009902
1,1,17,2,0.038407,0.665873,0.000241,3015,-12.3066,12.3066,0.051148
1,1,18,2,0.049274,0.811041,0.000241,3015,-12.1127,12.1127,0.079926
1,1,15,2,0.037281,0.91289,0.000241,3015,-12.1825,12.1825,0.068066
1,2,19,4,0.371829,0.986238,0.000246,3077,-25.5483,25.5483,1.466847
1,2,20,2,0.036618,0.881163,0.000246,3077,-12.1968,12.1968,0.064533
1,2,22,2,0.024708,0.984381,0.000246,3077,-12.3195,12.3195,0.048644
1,5,27,2,0.013653,0.98462,0.000247,3081,-12.5765,12.5765,0.026886
1,5,29,2,0.018256,0.849526,0.000247,3081,-12.5144,12.5144,0.031017
1,5,30,2,0.095033,0.979062,0.000247,3081,-11.7363,11.7363,0.186085
1,5,23,4,0.354651,0.967248,0.000247,3081,-25.6335,25.6335,1.372143
1,6,32,5,0.335027,0.806456,0.000241,3018,-33.1566,33.1566,1.35092
