seed,window,phase,lid,n_core,s_avg,r_core,b_gen,phase_sig,links_total
0,24,tracking,121,2,0.031927,0.973972,0.062193,2.325202,2899
0,24,tracking,119,2,0.044985,0.951576,0.085612,1.772541,2899
0,25,tracking,122,5,0.269819,0.832154,1.122657,-2.779044,2904
0,25,tracking,123,2,0.011081,0.826661,0.018321,0.057316,2904
0,25,tracking,124,2,0.017207,0.977246,0.03363,0.880585,2904
0,25,tracking,126,2,0.056814,0.916389,0.104128,1.513672,2904
0,26,tracking,128,5,0.358907,0.889934,1.597019,2.375761,2862
0,26,tracking,129,2,0.020648,0.616187,0.025446,0.254711,2862
0,26,tracking,131,2,0.01878,0.996567,0.037431,-2.647716,2862
0,26,tracking,133,2,0.529115,0.733764,0.776491,1.499605,2862
0,26,tracking,127,3,0.462586,0.550987,0.764636,-3.083461,2862
0,27,tracking,144,2,0.042243,0.909768,0.076863,2.969935,2884
0,27,tracking,137,2,0.009159,0.983922,0.018024,-0.852195,2884
0,27,tracking,139,2,0.010185,0.9821,0.020005,3.114766,2884
0,27,tracking,135,2,0.027634,0.991802,0.054815,2.674869,2884
0,28,tracking,145,2,0.032573,0.926788,0.060377,-2.251941,2760
0,28,tracking,146,2,0.034068,0.999233,0.068084,2.891658,2760
0,28,tracking,148,2,0.011795,0.938027,0.022129,-2.999115,2760
0,29,tracking,149,2,0.197825,0.898766,0.355597,-2.311291,2724
0,30,tracking,152,2,0.022448,0.996699,0.044747,-1.25713,2901
0,30,tracking,156,2,0.027323,0.997922,0.054532,-0.728479,2901
0,31,tracking,160,2,0.007594,0.575253,0.008737,2.169052,2866
0,31,tracking,162,2,0.060327,0.449182,0.054196,0.452417,2866
0,31,tracking,163,2,0.016784,0.373967,0.012554,2.536744,2866
0,31,tracking,165,2,0.019768,0.918452,0.036312,0.788705,2866
0,31,tracking,157,2,0.031853,0.995476,0.063418,-2.450818,2866
0,31,tracking,158,2,0.064489,0.999498,0.128913,-0.705675,2866
0,32,tracking,166,5,0.386849,0.539457,1.043442,-2.03826,2793
0,32,tracking,167,2,0.017065,0.982615,0.033536,2.858174,2793
0,32,tracking,168,2,0.137261,0.99946,0.274373,-2.600918,2793
0,32,tracking,169,2,0.030073,0.681793,0.041007,3.051644,2793
0,32,tracking,170,2,0.008799,0.979656,0.01724,2.779395,2793
0,32,tracking,172,2,0.08887,0.998026,0.17739,-2.338115,2793
0,32,tracking,175,2,0.026859,0.99856,0.05364,2.930625,2793
0,32,tracking,177,2,0.031344,0.985168,0.061759,-2.104622,2793
0,32,tracking,178,2,0.130572,0.880138,0.229843,2.036298,2793
0,32,tracking,180,2,0.049094,0.994951,0.097692,2.771562,2793
0,32,tracking,181,2,0.014118,0.956868,0.027018,0.396875,2793
