seed,cid,n_core,b_gen,pulse_n,t,window,delta,d_n,d_s,d_r,d_phase,p_capture,captured,n_local,s_avg_local,r_local,theta_avg_local
4,99,5,34.5442,159,9449,38,0.208398,0.046512,0.424858,0.017013,0.345208,0.510158,1,9,0.026507,0.261512,-2.396951
4,99,5,34.5442,160,9499,38,0.440084,0.44186,0.420986,0.010415,0.887074,0.271403,1,43,0.030378,0.28894,2.183911
4,99,5,34.5442,161,9549,39,0.326096,0.27907,0.420286,0.051486,0.553544,0.370224,1,29,0.031078,0.330011,-3.051458
4,99,5,34.5442,162,9599,39,0.508531,0.604651,0.422967,0.126728,0.879777,0.225238,1,57,0.028398,0.151797,1.451454
4,99,5,34.5442,163,9649,39,0.728679,1.290698,0.426419,0.240882,0.956718,0.123652,0,116,0.024946,0.037643,1.965117
4,99,5,34.5442,164,9699,39,0.235817,0.348837,0.396804,0.147092,0.050534,0.473442,1,35,0.054561,0.131433,-1.153693
4,99,5,34.5442,165,9749,39,0.257044,0.325581,0.427814,0.095085,0.179694,0.446843,0,33,0.02355,0.37361,-1.876975
4,99,5,34.5442,166,9799,39,0.664075,1.94186,0.426826,0.165276,0.122339,0.147445,0,172,0.024539,0.113249,-1.696787
4,99,5,34.5442,167,9849,39,0.491184,0.77907,0.425846,0.083011,0.676811,0.236136,0,72,0.025519,0.195514,0.813817
4,99,5,34.5442,168,9899,39,0.248043,0.27907,0.424564,0.121211,0.167328,0.457934,0,29,0.026801,0.157313,-1.838124
4,99,5,34.5442,169,9949,39,0.331867,0.255814,0.428017,0.137509,0.506129,0.36445,1,27,0.023348,0.141015,0.277602
4,99,5,34.5442,170,9999,39,0.511773,0.837209,0.424632,0.177904,0.607346,0.223257,1,77,0.026732,0.100621,0.595585
4,99,5,34.5442,171,10049,40,0.36884,0.325581,0.420045,0.072496,0.657236,0.329533,0,33,0.03132,0.351021,0.752318
4,99,5,34.5442,172,10099,40,0.500482,1.011628,0.424205,0.120861,0.445235,0.230231,0,92,0.02716,0.157664,0.086298
4,99,5,34.5442,173,10149,40,0.394409,0.72093,0.424372,0.256394,0.175941,0.307361,0,67,0.026993,0.022131,-1.865183
4,99,5,34.5442,174,10199,40,0.414365,0.465116,0.424596,0.226061,0.541687,0.291099,0,45,0.026769,0.052464,-3.014207
4,99,5,34.5442,175,10249,40,0.514835,1.069767,0.427841,0.179944,0.381789,0.221403,0,97,0.023523,0.098581,-0.113023
4,99,5,34.5442,176,10299,40,0.407166,0.976744,0.42532,0.214993,0.011609,0.296864,1,89,0.026045,0.063532,-1.348918
4,99,5,34.5442,177,10349,40,0.616474,1.151163,0.423924,0.218939,0.671871,0.167858,0,104,0.027441,0.059586,2.85999
4,99,5,34.5442,178,10399,40,0.490562,0.569767,0.426996,0.214186,0.751298,0.236537,0,54,0.024369,0.064339,2.610463
4,99,5,34.5442,179,10449,40,0.482814,0.430233,0.425323,0.100591,0.97511,0.241582,0,42,0.026042,0.177934,1.907339
4,99,5,34.5442,180,10499,40,0.494528,1.232558,0.424941,0.105288,0.215325,0.233995,0,111,0.026423,0.173236,-1.988912
4,99,5,34.5442,181,10549,41,0.360153,0.093023,0.426482,0.07685,0.844258,0.337423,0,13,0.024883,0.201675,1.339866
4,99,5,34.5442,182,10599,41,0.269265,0.418605,0.425554,0.087617,0.145282,0.432213,0,41,0.025811,0.190907,-1.768867
4,99,5,34.5442,183,10649,41,0.433021,0.22093,0.424927,0.206685,0.879543,0.276675,0,24,0.026438,0.07184,1.450718
4,99,5,34.5442,184,10699,41,0.665219,1.325581,0.425395,0.204849,0.705051,0.146986,0,119,0.02597,0.073675,2.755753
4,99,5,34.5442,185,10749,41,0.357348,0.709302,0.425199,0.182325,0.112564,0.340012,0,66,0.026165,0.0962,-1.666078
4,99,5,34.5442,186,10799,41,0.452941,0.918605,0.424459,0.181884,0.286815,0.262063,1,84,0.026905,0.096641,-0.411393
4,99,5,34.5442,187,10849,41,0.333572,0.395349,0.428138,0.15675,0.354052,0.362761,1,39,0.023227,0.121775,-0.200162
4,99,5,34.5442,188,10899,41,0.243081,0.313953,0.424692,0.104752,0.128926,0.464166,0,32,0.026672,0.383277,-1.71748
4,99,5,34.5442,189,10949,41,0.218953,0.197674,0.422726,0.108177,0.147233,0.495699,1,22,0.028639,0.386702,-0.849902
4,99,5,34.5442,190,10999,41,0.483677,0.581395,0.42267,0.242164,0.688479,0.241015,0,55,0.028694,0.036361,2.807816
4,99,5,34.5442,191,11049,42,0.441151,0.523256,0.427166,0.20807,0.606111,0.270616,0,50,0.024199,0.070454,0.591707
4,99,5,34.5442,192,11099,42,0.17502,0.127907,0.427689,0.009418,0.135068,0.558715,1,16,0.023675,0.269107,-0.888121
4,99,5,34.5442,193,11149,42,0.440675,0.290698,0.422011,0.069405,0.980586,0.270967,1,30,0.029353,0.20912,1.890134
4,99,5,34.5442,194,11199,42,0.276851,0.209302,0.423819,0.0056,0.468682,0.423373,0,23,0.027546,0.272924,0.159961
4,99,5,34.5442,195,11249,42,0.440756,0.744186,0.423352,0.185176,0.41031,0.270907,0,69,0.028013,0.093349,-0.023423
4,99,5,34.5442,196,11299,42,0.279547,0.581395,0.427313,0.048657,0.060824,0.420274,1,55,0.024052,0.229868,-1.121364
4,99,5,34.5442,197,11349,42,0.467008,1.127907,0.422782,0.186513,0.130831,0.25221,0,102,0.028583,0.092012,-1.723468
4,99,5,34.5442,198,11399,42,0.378714,0.209302,0.425555,0.185915,0.694084,0.320787,1,23,0.02581,0.09261,0.868081
4,99,5,34.5442,199,11449,42,0.322382,0.372093,0.423034,0.120163,0.37424,0.373989,1,37,0.028331,0.158362,-0.13674
4,99,5,34.5442,200,11499,42,0.639862,0.976744,0.422862,0.206512,0.953328,0.157498,0,89,0.028502,0.072013,1.682519
4,99,5,34.5442,201,11549,43,0.479013,0.418605,0.427263,0.087893,0.98229,0.244097,0,41,0.024101,0.190632,1.884783
4,99,5,34.5442,202,11599,43,0.315495,0.302326,0.42492,0.086793,0.447941,0.381071,0,31,0.026445,0.191731,0.094799
4,99,5,34.5442,203,11649,43,0.367442,0.313953,0.420052,0.139167,0.596595,0.33079,0,32,0.031312,0.139358,0.561809
4,99,5,34.5442,204,11699,43,0.293001,0.488372,0.425811,0.114184,0.143638,0.405151,1,47,0.025554,0.164341,-0.861196
