window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
114,4815,3030,0,0,3,1.8216,1,14.9,0,3030,4.53,0.9908,3058.1,0,1.0,59,0,3,1168,0.001498,0.0331,0.0,113,63.8,0.0175,0.0072,0,1,0,0,0.078313,0.015625,43,0.8005,6.7412,0.4323,19,3,37,794,1231,483,0.0011,0.9989,657.8,3.8,0.052,0.012048,0.007332,1.6433,0.6783,0
115,4814,3046,0,0,3,1.8423,1,14.8,0,3046,4.53,0.9964,3056.9,0,1.0,58,0,1,1135,0.000546,0.0342,0.0,114,65.6,0.0175,0.0071,0,0,0,0,0.08547,0.015625,41,0.8172,6.8267,0.4324,18,3,37,820,1148,491,0.0007,0.9993,658.3,4.0,0.052,0.0,0.006633,0.0,1.5,0
116,4813,3073,0,0,3,1.877,1,14.8,3085,0,4.57,1.0083,3059.6,0,1.0,58,0,0,1135,0.001201,0.043,0.0,115,66.6,0.0192,0.0083,0,0,0,0,0.083095,0.015625,41,0.812,6.9098,0.4326,18,3,37,787,1210,518,0.0008,0.9992,643.6,4.0,0.052,0,0.006002,0.0,1.5,0
117,4813,3012,0,0,3,1.8062,1,14.9,0,3012,4.46,0.9859,3055.1,0,1.0,57,0,1,1117,0.001114,0.0345,0.0,116,66.9,0.0195,0.0081,0,1,0,0,0.075235,0.015625,41,0.7923,6.985,0.4326,17,3,37,765,1218,465,0.0006,0.9994,655.5,4.1,0.0522,0.0,0.00543,0.0,1.5,0
118,4812,2975,0,0,3,1.8955,1,14.8,0,2975,4.46,0.9762,3047.4,0,1.0,56,0,1,1117,0.001142,0.0428,0.0,117,68.9,0.0183,0.0069,0,0,0,0,0.070336,0.015625,41,0.7779,7.0554,0.4324,17,3,36,751,1171,501,0.0004,0.9996,670.1,4.0,0.0524,0.003058,0.005204,0.5876,1.2062,0
119,4812,3080,0,0,3,1.8424,1,15.0,3096,0,4.65,1.0144,3052.1,0,1.0,53,0,3,1086,0.000926,0.0426,0.0,118,71.8,0.0202,0.0082,0,2,0,0,0.108197,0.015625,40,0.8556,7.1636,0.4326,17,2,34,777,1267,468,0.0009,0.9991,639.9,4.0,0.053,0.006557,0.005333,1.2296,0.8852,0
120,4811,3095,1,5,3,1.5511,1,14.7,3109,0,4.61,1.0192,3058.2,8,1.0,55,4,2,1071,0.000849,0.0472,24.6914,119,69.4,0.0202,0.0094,1,0,0,0,0.067847,0.015625,40,0.7697,7.2314,0.4322,18,2,35,759,1258,510,0.001,0.999,636.1,4.0,0.0531,0.00295,0.005106,0.5777,1.2111,0
121,4810,3022,2,5,3,1.8262,1,14.8,5,3012,4.53,0.9893,3054.8,10,1.0,57,7,5,1127,0.001308,0.0337,24.5232,120,67.9,0.0189,0.0075,1,0,0,0,0.064767,0.015625,41,0.7587,7.2962,0.4319,17,2,38,794,1201,454,0.0009,0.9991,643.6,3.9,0.0525,0.015544,0.0061,2.5482,0.5,0
122,4810,2974,0,0,3,1.8449,2,14.7,0,2974,4.49,0.976,3047.1,0,1.0,55,0,2,1083,0.000487,0.038,0.0,121,69.5,0.02,0.0079,0,1,0,0,0.091772,0.015625,40,0.8297,7.3879,0.4321,16,2,37,739,1176,505,0.0013,0.9987,637.7,4.0,0.0526,0.003165,0.005821,0.5437,1.2282,0
123,4810,3058,1,5,3,1.8961,1,14.8,3059,0,4.55,1.0053,3048.8,6,1.0,55,2,2,1101,0.001224,0.0442,15.2439,122,70.5,0.0184,0.0085,1,0,0,0,0.076696,0.015625,39,0.7963,7.4558,0.4325,17,2,36,797,1213,498,0.0009,0.9991,669.8,4.0,0.0538,0.0059,0.005828,1.0123,0.9939,0
124,4809,3025,1,3,1,1.8987,1,15.0,0,3025,4.55,0.9929,3046.5,0,1.0,55,1,1,1083,0.001014,0.0398,0.0,123,71.4,0.0192,0.0079,0,0,0,0,0.082569,0.015625,39,0.8108,7.5353,0.4323,18,2,35,790,1207,471,0.0011,0.9989,676.1,3.7,0.0528,0.0,0.005273,0.0,1.5,0
125,4809,3079,0,0,1,1.9604,2,15.2,3102,0,4.62,1.0179,3052.3,5,1.0,57,5,3,1089,0.001537,0.0343,14.7929,124,68.1,0.0185,0.0073,0,0,0,0,0.094286,0.015625,41,0.8343,7.6296,0.4324,20,3,34,788,1181,529,0.0007,0.9993,657.7,3.8,0.054,0.0,0.004771,0.0,1.5,0
126,4808,3034,1,5,1,1.9424,1,14.9,5,3024,4.55,0.9946,3050.6,10,1.0,57,1,1,1107,0.001579,0.0326,30.581,125,69.1,0.0187,0.0064,1,0,0,0,0.068249,0.015625,41,0.7711,7.6978,0.4322,19,3,35,741,1229,504,0.0011,0.9989,654.9,3.9,0.0546,0.005935,0.004882,1.2157,0.8921,0
