window,label_id,age,n_core,visible_total,n_seen,near_phase_ratio,theta_variance,share,type_tag,world_jaccard,partner_jaccard
26,33,18,4,147,0,0.2449,0.9161,0.04,isolated,1.0,0.0
26,48,16,3,68,1,0.4118,0.9085,0.03,neutral,1.0,1.0
26,57,15,4,147,6,0.2245,0.9554,0.03,social,1.0,1.0
26,76,11,4,152,0,0.2434,0.9148,0.05,isolated,1.0,1.0
26,83,10,3,66,1,0.3182,0.8939,0.02,neutral,1.0,1.0
26,87,9,5,280,7,0.25,0.9433,0.08,social|wide,0.9964,0.875
26,112,6,5,285,0,0.3018,0.9275,0.05,isolated|wide,1.0,0.0
26,114,5,5,252,5,0.254,0.9447,0.07,social|wide,1.0,0.7143
26,118,4,3,67,1,0.3284,0.9307,0.04,neutral,1.0,1.0
26,121,4,2,25,0,0.2,0.7796,0.04,isolated|local,1.0,1.0
26,126,3,5,285,2,0.2421,0.951,0.06,wide,1.0,0.6667
26,137,1,4,143,2,0.2517,0.9486,0.02,neutral,0.9931,1.0
