window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp
118,4874,3080,2,5,1,1.9489,1,16.2,4,3071,4.58,0.9889,3114.7,9,1.0,71,2,0,1343,0.000955,0.033,22.113,117,56.9,0.0157,0.0062,1,0,0,0,0.080189,0.015625,40,0.8051,6.7622,0.4227,26,5,40,779,1223,493
119,4872,3133,0,0,1,1.8482,2,16.2,3142,0,4.54,1.0082,3117.4,1,1.0,69,1,3,1343,0.00087,0.0255,0.0,118,59.4,0.0155,0.0054,0,0,0,0,0.062645,0.015625,41,0.7506,6.8133,0.4224,26,5,38,787,1270,499
120,4870,3141,0,0,0,1.8973,1,16.2,3144,0,4.49,1.0077,3119.9,0,1.0,68,0,1,1325,0.000778,0.0305,0.0,119,61.2,0.0153,0.0054,0,0,0,0,0.056338,0.015625,40,0.7227,6.8626,0.4224,26,5,37,802,1228,494
121,4868,3092,0,0,0,1.889,1,16.5,1,3091,4.51,0.9919,3117.3,1,1.0,68,1,1,1318,0.00081,0.0298,0.0,120,62.2,0.0158,0.0061,0,0,0,0,0.062035,0.015625,41,0.7481,6.9047,0.4222,26,5,37,785,1205,568
122,4866,3139,2,5,1,1.8613,1,16.4,3150,0,4.69,1.0121,3121.3,9,1.0,69,2,1,1344,0.000842,0.0334,20.6897,121,62.2,0.0154,0.0071,1,1,0,0,0.057906,0.015625,41,0.7302,6.9359,0.4218,26,5,38,751,1229,526
123,4864,3114,2,5,3,1.8956,1,16.2,5,3099,4.7,0.9979,3120.6,15,1.0,71,3,1,1357,0.000847,0.026,31.6742,122,61.4,0.0156,0.0054,1,0,0,0,0.05423,0.015625,42,0.7119,6.9836,0.4215,27,5,39,787,1233,504
124,4863,3126,1,3,3,1.899,2,16.1,3121,0,4.58,1.0042,3121.9,14,1.0,73,4,2,1355,0.00086,0.0308,32.2581,123,59.0,0.0147,0.0059,0,0,0,0,0.061538,0.015625,43,0.7461,7.0452,0.4209,27,5,41,783,1282,501
125,4860,3135,0,0,3,1.9657,2,16.2,3138,0,4.69,1.0073,3124.3,9,1.0,70,1,4,1362,0.000844,0.0352,18.7354,124,62.3,0.0154,0.0067,0,0,0,0,0.055066,0.015625,43,0.7163,7.0826,0.4206,27,5,38,845,1177,522
126,4859,3006,0,0,3,1.906,1,16.1,0,3001,4.52,0.9656,3113.1,5,1.0,70,0,0,1338,0.000729,0.0297,11.7647,125,63.3,0.0153,0.0063,0,0,0,0,0.057078,0.015625,42,0.7262,7.1397,0.4203,27,5,38,782,1206,459
127,4859,3130,1,5,3,1.8676,1,16.0,3146,0,4.66,1.011,3116.7,5,1.0,68,1,3,1357,0.00079,0.0333,11.7371,126,66.0,0.0158,0.0062,1,0,0,0,0.062084,0.015625,43,0.7483,7.1641,0.4198,25,5,38,793,1222,521
128,4859,3013,2,5,3,1.93,1,16.0,5,3008,4.52,0.9698,3106.8,5,1.0,69,2,1,1365,0.000855,0.035,12.0773,127,65.8,0.0158,0.0063,1,1,0,0,0.095794,0.015625,44,0.8369,7.2599,0.4196,26,5,38,773,1189,459
129,4859,3034,1,4,3,1.9027,2,16.1,4,3030,4.56,0.9788,3099.9,4,1.0,70,1,0,1359,0.000888,0.0323,9.4563,128,65.9,0.0156,0.0064,0,0,0,0,0.064516,0.015625,44,0.7578,7.3244,0.4191,27,5,38,746,1184,511
130,4858,3075,1,5,3,1.8129,2,16.0,0,3070,4.56,0.9927,3097.5,5,1.0,71,1,0,1368,0.000804,0.0288,12.4378,129,65.9,0.0155,0.0057,1,0,0,0,0.047962,0.015625,44,0.6742,7.3628,0.4186,27,5,39,786,1209,498
131,4857,3052,0,0,3,1.9134,2,16.0,0,3052,4.52,0.9867,3093.2,0,1.0,70,0,1,1355,0.000719,0.0283,0.0,130,66.7,0.0145,0.0053,0,0,0,0,0.054348,0.015625,44,0.7125,7.4171,0.418,26,5,39,762,1258,480
132,4856,3115,3,5,3,1.8968,1,16.0,3122,0,4.65,1.0122,3097.1,13,1.0,74,8,4,1381,0.00089,0.0287,27.7778,131,62.9,0.0138,0.0051,1,1,0,0,0.043121,0.015625,47,0.6376,7.4602,0.417,27,5,42,813,1223,476
133,4853,3108,1,3,3,1.9958,1,15.9,3103,0,4.66,1.004,3098.5,8,1.0,73,0,1,1381,0.000891,0.0268,18.5615,132,64.7,0.0149,0.0053,0,0,0,0,0.069196,0.015625,47,0.7742,7.5294,0.4161,26,5,42,801,1209,538
134,4851,3084,1,5,3,1.9532,2,16.0,5,3074,4.57,0.9958,3097.1,10,1.0,71,3,5,1353,0.000905,0.032,18.7793,133,62.3,0.0153,0.0065,1,2,0,0,0.070776,0.015625,47,0.7792,7.6002,0.4151,25,5,41,763,1228,493
135,4851,3094,1,4,1,1.9575,2,15.9,4,3090,4.56,0.9991,3096.8,4,1.0,71,2,2,1351,0.000751,0.0288,7.5377,134,63.3,0.0151,0.0057,0,0,0,0,0.057692,0.015625,47,0.7292,7.6579,0.4147,26,5,40,768,1241,488
136,4851,3085,1,5,1,1.9202,2,16.0,0,3080,4.47,0.9966,3095.7,5,1.0,69,1,3,1345,0.000867,0.0294,11.7096,135,65.5,0.0148,0.0059,1,0,0,0,0.072398,0.015625,46,0.7842,7.7303,0.4142,26,5,38,763,1210,516
137,4848,3066,0,0,1,1.8216,2,15.9,0,3061,4.56,0.9913,3092.8,5,1.0,71,5,3,1346,0.000838,0.0317,11.655,136,64.5,0.0149,0.0057,0,0,0,0,0.065611,0.015625,45,0.7619,7.7959,0.4136,28,5,38,788,1195,484
