seed,window,rate,k,H,drift,type_count,J,term_H,term_drift,term_penalty,k_star
55,3,0.0,3,0.6784,0.1424,3,-0.1792,0.6784,0.1424,-1.0,2
55,3,0.0,4,0.6784,0.1424,3,-0.1792,0.6784,0.1424,-1.0,2
55,4,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,4,0.0,1,0.6723,0.1134,2,-0.0068,0.6723,0.1134,-0.7925,2
55,4,0.0,2,1.1596,0.1736,3,0.3332,1.1596,0.1736,-1.0,2
55,4,0.0,3,1.1596,0.1736,3,0.3332,1.1596,0.1736,-1.0,2
55,4,0.0,4,1.1596,0.1736,3,0.3332,1.1596,0.1736,-1.0,2
55,5,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,5,0.0,1,0.5033,0.3804,2,0.0912,0.5033,0.3804,-0.7925,2
55,5,0.0,2,0.8031,0.3947,3,0.1978,0.8031,0.3947,-1.0,2
55,5,0.0,3,0.8031,0.3947,3,0.1978,0.8031,0.3947,-1.0,2
55,5,0.0,4,0.8031,0.3947,3,0.1978,0.8031,0.3947,-1.0,2
55,6,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,6,0.0,1,0.9219,0.2278,3,0.1497,0.9219,0.2278,-1.0,2
55,6,0.0,2,1.571,0.3086,4,0.7186,1.571,0.3086,-1.161,2
55,6,0.0,3,1.571,0.3086,4,0.7186,1.571,0.3086,-1.161,2
55,6,0.0,4,1.571,0.3086,4,0.7186,1.571,0.3086,-1.161,2
55,7,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,7,0.0,1,-0.0,0.3287,1,-0.1713,-0.0,0.3287,-0.5,2
55,7,0.0,2,-0.0,0.4863,1,-0.0137,-0.0,0.4863,-0.5,2
55,7,0.0,3,-0.0,0.4863,1,-0.0137,-0.0,0.4863,-0.5,2
55,7,0.0,4,-0.0,0.4863,1,-0.0137,-0.0,0.4863,-0.5,2
55,8,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,8,0.0,1,0.3534,0.1848,2,-0.2543,0.3534,0.1848,-0.7925,2
55,8,0.0,2,0.6998,0.2648,3,-0.0354,0.6998,0.2648,-1.0,2
55,8,0.0,3,0.6998,0.2648,3,-0.0354,0.6998,0.2648,-1.0,2
55,8,0.0,4,0.6998,0.2648,3,-0.0354,0.6998,0.2648,-1.0,2
55,9,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,9,0.0,1,0.2975,0.2443,2,-0.2507,0.2975,0.2443,-0.7925,2
55,9,0.0,2,0.5907,0.2458,3,-0.1635,0.5907,0.2458,-1.0,2
55,9,0.0,3,0.5907,0.2458,3,-0.1635,0.5907,0.2458,-1.0,2
55,9,0.0,4,0.5907,0.2458,3,-0.1635,0.5907,0.2458,-1.0,2
55,10,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,10,0.0,1,0.8113,0.3995,2,0.4183,0.8113,0.3995,-0.7925,2
55,10,0.0,2,1.5,0.4926,3,0.9926,1.5,0.4926,-1.0,2
55,10,0.0,3,1.5,0.4926,3,0.9926,1.5,0.4926,-1.0,2
55,10,0.0,4,1.5,0.4926,3,0.9926,1.5,0.4926,-1.0,2
55,11,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,11,0.0,1,1.5219,0.491,3,1.0129,1.5219,0.491,-1.0,2
55,11,0.0,2,1.5219,0.6816,3,1.2035,1.5219,0.6816,-1.0,2
55,11,0.0,3,1.5219,0.6816,3,1.2035,1.5219,0.6816,-1.0,2
55,11,0.0,4,1.5219,0.6816,3,1.2035,1.5219,0.6816,-1.0,2
55,12,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,12,0.0,1,1.1221,0.3122,3,0.4343,1.1221,0.3122,-1.0,2
55,12,0.0,2,1.7652,0.5764,4,1.1806,1.7652,0.5764,-1.161,2
55,12,0.0,3,1.7652,0.5764,4,1.1806,1.7652,0.5764,-1.161,2
55,12,0.0,4,1.7652,0.5764,4,1.1806,1.7652,0.5764,-1.161,2
55,13,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,13,0.0,1,0.7732,0.1342,3,-0.0926,0.7732,0.1342,-1.0,2
55,13,0.0,2,1.352,0.1738,4,0.3648,1.352,0.1738,-1.161,2
55,13,0.0,3,1.352,0.1738,4,0.3648,1.352,0.1738,-1.161,2
55,13,0.0,4,1.352,0.1738,4,0.3648,1.352,0.1738,-1.161,2
55,14,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
55,14,0.0,1,-0.0,0.2856,1,-0.2144,-0.0,0.2856,-0.5,2
