window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
61,4908,3040,2,5,3,1.9608,2,14.6,9,3026,4.48,0.9657,3148.0,14,1.0,64,2,1,1178,0.001597,0.0329,40.2299,60,30.4,0.0189,0.008,1,0,0,0,0.076712,0.015625,41,0.7963,3.4105,0.3889,22,5,37
62,4906,3171,1,4,3,1.9749,2,14.6,3177,0,4.64,1.0115,3151.8,11,1.0,65,4,3,1198,0.001379,0.0339,29.8913,61,30.8,0.0174,0.0071,0,0,0,0,0.067885,0.015625,41,0.7698,3.4654,0.3891,23,6,36
63,4904,3139,0,0,3,1.9958,2,14.5,7,3127,4.59,0.9963,3150.6,12,1.0,68,5,2,1206,0.001248,0.0342,32.7869,62,30.4,0.0167,0.0063,0,0,0,0,0.065789,0.015625,42,0.7625,3.5312,0.3901,23,8,37
64,4902,3178,0,0,3,1.9668,1,14.7,3196,0,4.65,1.0153,3155.7,8,1.0,66,0,2,1204,0.001326,0.0333,23.1884,63,32.3,0.0177,0.0065,0,0,0,0,0.061111,0.015625,42,0.7443,3.5867,0.3908,23,7,36
65,4898,3052,0,0,3,1.9865,1,14.6,3,3049,4.52,0.9702,3145.8,3,1.0,65,0,1,1194,0.001253,0.0375,9.009,64,33.8,0.0172,0.007,0,0,0,0,0.066282,0.015625,41,0.7643,3.653,0.3912,23,6,36
66,4893,3034,0,0,3,1.9907,1,14.5,0,3029,4.52,0.9677,3135.2,5,1.0,65,5,5,1194,0.001133,0.0313,14.7059,65,34.7,0.0157,0.0065,0,0,0,0,0.08547,0.015625,44,0.8172,3.7385,0.3921,23,6,36
67,4889,3075,2,5,3,1.9437,1,14.4,6,3054,4.56,0.9826,3129.4,21,1.0,71,9,3,1229,0.001157,0.0277,60.0,66,32.6,0.0146,0.0071,1,0,0,0,0.094183,0.015625,47,0.8341,3.8326,0.3922,26,7,38
68,4884,3070,2,5,3,1.9105,1,14.4,8,3047,4.59,0.9828,3123.8,23,1.0,72,2,1,1261,0.001238,0.0294,58.8235,67,33.2,0.0146,0.0061,1,0,0,0,0.061275,0.015625,46,0.745,3.8768,0.3916,26,7,39
69,4881,3131,1,5,3,1.8706,2,14.4,3122,0,4.71,1.0038,3125.0,15,1.0,69,1,4,1278,0.001357,0.0344,36.5854,68,35.3,0.0158,0.0069,1,1,0,0,0.073394,0.015625,46,0.7871,3.9502,0.3916,26,5,38
70,4877,3001,1,5,3,1.8657,2,14.5,2,2994,4.45,0.964,3113.2,7,1.0,68,3,4,1260,0.00127,0.0362,18.617,69,34.9,0.0169,0.0067,1,0,0,0,0.056848,0.015625,42,0.7251,3.9992,0.3917,26,4,38
