window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
84,4743,2991,3,7,1,1.8474,1,11.6,2980,0,4.5,1.0235,2923.3,12,1.0,46,3,1,895,0.001986,0.0483,44.7761,83,40.3,0.0232,0.0103,1,1,0,0,0.063197,0.015625,34,0.7528,4.4432,0.3911,0.00224
85,4743,2880,0,0,3,1.9003,1,11.6,2,2868,4.41,0.9866,2919.2,12,1.0,45,2,3,913,0.001733,0.0473,37.8788,84,42.2,0.0233,0.011,0,0,0,0,0.08,0.015625,35,0.8047,4.5232,0.3907,0.002186
86,4742,2905,0,0,3,1.9543,1,11.7,0,2900,4.45,0.9956,2917.8,5,1.0,45,0,0,887,0.00176,0.0675,20.3252,85,43.2,0.0233,0.0115,0,0,0,0,0.095238,0.015625,34,0.8359,4.6026,0.3909,0.002144
87,4742,2934,2,5,3,1.9322,1,11.7,2922,0,4.49,1.005,2919.4,12,1.0,47,7,5,935,0.001766,0.0524,38.7597,86,40.4,0.0217,0.0107,1,0,0,0,0.11236,0.015625,37,0.8609,4.6962,0.3911,0.002116
88,4741,2882,3,4,3,1.9133,1,11.7,12,2861,4.43,0.9884,2915.8,21,1.0,50,5,2,949,0.001833,0.0421,72.2022,87,38.9,0.0204,0.0089,0,0,0,0,0.091228,0.015625,37,0.8287,4.7559,0.3907,0.002102
89,4741,2977,0,0,3,1.8871,2,11.7,2969,0,4.49,1.0193,2921.7,9,1.0,49,0,1,932,0.00177,0.0432,27.3038,88,40.1,0.0223,0.0095,0,0,0,0,0.066445,0.015625,37,0.7648,4.8223,0.39,0.002102
90,4739,2887,2,5,1,1.9149,1,11.7,9,2873,4.44,0.9892,2918.4,14,1.0,50,5,4,959,0.001691,0.0507,46.1538,89,38.8,0.0228,0.0089,1,0,0,0,0.083333,0.015625,39,0.8125,4.9056,0.3899,0.002116
91,4739,2813,0,0,3,1.8094,1,11.7,0,2808,4.4,0.9672,2908.4,5,1.0,46,0,4,928,0.001572,0.0435,20.4082,90,41.2,0.0236,0.0094,0,1,0,0,0.094862,0.015625,38,0.8353,5.0005,0.3902,0.002144
92,4738,2997,3,4,3,1.9287,1,11.7,2980,0,4.57,1.0281,2917.0,19,1.0,48,5,3,978,0.001844,0.0439,62.9371,91,40.3,0.023,0.0102,0,0,0,0,0.067568,0.015625,38,0.7688,5.0681,0.3899,0.002186
93,4736,2979,3,4,3,1.9661,1,11.7,2967,0,4.48,1.0192,2922.9,12,1.0,51,5,2,1000,0.001584,0.0386,36.6667,92,38.9,0.0205,0.0073,0,0,0,0,0.067524,0.015625,38,0.7686,5.1259,0.3897,0.00224
94,4733,2893,0,0,3,1.9708,2,11.7,4,2889,4.43,0.9907,2920.1,4,1.0,49,0,2,990,0.001594,0.0455,14.652,93,41.3,0.0206,0.0094,0,0,0,0,0.08042,0.015625,38,0.8057,5.2064,0.3903,0.002307
95,4726,2837,0,0,3,1.9588,1,11.7,4,2833,4.36,0.9742,2912.2,4,1.0,47,0,2,957,0.001541,0.042,15.748,94,42.6,0.0217,0.009,0,1,0,0,0.099237,0.015625,36,0.8425,5.3056,0.3904,0.002384
96,4722,2850,1,4,3,1.9785,1,11.6,7,2843,4.43,0.9806,2906.2,7,1.0,47,1,1,959,0.00159,0.0444,27.2374,95,43.5,0.0216,0.0097,0,0,0,0,0.077778,0.015625,37,0.7991,5.3723,0.3902,0.002471
97,4711,2965,0,0,3,1.97,1,11.7,2962,0,4.59,1.0183,2911.8,3,1.0,48,3,2,955,0.001429,0.0559,10.9489,96,43.6,0.019,0.0096,0,0,0,0,0.115385,0.015625,37,0.8646,5.4877,0.3905,0.002566
98,4704,2960,3,5,1,1.9822,1,11.5,2945,0,4.5,1.0149,2916.4,15,1.0,48,3,3,970,0.0017,0.0421,50.1672,97,44.2,0.0217,0.0091,3,0,0,0,0.139159,0.015625,36,0.8877,5.5556,0.3917,0.002669
99,4690,2916,1,3,3,1.9656,1,11.5,6,2910,4.55,0.9999,2916.4,6,1.0,49,5,4,987,0.001495,0.0373,12.8617,98,44.2,0.0227,0.0085,0,0,0,0,0.130435,0.015625,37,0.8802,5.6395,0.3929,0.002776
100,4688,2901,0,0,3,1.9957,2,11.5,4,2897,4.52,0.9952,2914.9,4,1.0,48,0,1,964,0.001417,0.0521,14.3369,99,46.1,0.0217,0.0088,0,0,0,0,0.128472,0.015625,36,0.8784,5.695,0.3937,0.002887
101,4683,2855,1,5,3,1.9977,1,11.5,9,2846,4.45,0.9814,2909.2,9,1.0,49,1,0,976,0.001455,0.0381,31.9149,100,46.2,0.0204,0.0081,1,0,0,0,0.089965,0.015625,36,0.8263,5.7504,0.394,0.003
102,4681,2879,1,4,3,1.948,1,11.3,8,2871,4.46,0.9906,2906.3,8,1.0,50,2,1,1001,0.001469,0.0387,25.1799,101,46.2,0.02,0.0081,0,0,0,0,0.109155,0.015625,38,0.8569,5.8067,0.3944,0.003113
103,4679,2937,2,5,3,1.8518,2,11.3,2925,0,4.53,1.0095,2909.3,12,1.0,53,4,1,1041,0.001449,0.0408,35.7143,102,44.5,0.0219,0.0084,2,0,0,0,0.094044,0.015625,38,0.8339,5.8694,0.3947,0.003224
104,4674,2897,1,4,3,1.9287,2,11.3,3,2889,4.43,0.9962,2908.1,8,1.0,52,1,2,1050,0.001279,0.0436,25.89,103,46.3,0.0205,0.0086,0,1,0,0,0.093458,0.015625,38,0.8328,5.9629,0.3952,0.003331
105,4670,2804,2,5,3,1.9391,2,11.3,5,2789,4.37,0.9675,2898.2,15,1.0,51,2,3,1035,0.001596,0.0526,50.5051,104,46.2,0.0218,0.0088,2,1,0,0,0.101974,0.015625,37,0.8468,6.0155,0.3955,0.003434
