rate,seed,window,from_k,to_k,dH3,dH4,d_none,d_hit,margin_before,margin_after,d_dr3,d_dr4
0.005,314,10,4,3,-1.0207,-1.0207,0.2878,-0.0378,0.1434,0.0,0.1673,0.0239
0.005,314,11,3,4,0.8484,0.8484,-0.2402,-0.0455,0.0,0.0961,-0.0565,0.0396
0.005,314,12,4,3,-1.3788,-1.3788,0.2857,0.0,0.0961,0.0,0.1646,0.0685
0.005,314,13,3,4,0.6402,1.1401,-0.1176,0.1176,0.0,0.4502,-0.259,-0.1477
0.005,314,18,4,3,-1.2075,-1.2075,0.25,0.0,0.1703,0.0,0.0,-0.1703
0.005,314,19,3,4,0.7219,1.371,-0.2,0.2,0.0,0.5992,-0.0427,0.1149
0.005,456,1,3,4,-1.2155,-1.3173,0.2393,-0.0645,-0.0093,0.0074,,
0.005,1337,1,3,4,-0.4538,-0.1556,0.0345,0.0113,0.0,0.1878,,
0.005,1337,7,4,3,0.1079,0.1079,-0.0563,0.0,0.1121,0.0,-0.2008,-0.3129
0.005,1337,8,3,4,0.8212,0.9716,-0.0119,0.1667,0.0,0.0189,0.5426,0.5426
0.005,2024,12,4,3,-0.5152,-0.5291,0.1389,-0.0069,0.0282,-0.0498,-0.0803,-0.1151
0.005,2024,13,3,4,-0.6889,-0.1842,0.0585,0.1023,-0.0498,0.4948,0.1673,0.2538
0.005,2024,16,4,3,-0.3962,-0.3962,0.1667,0.0,0.3381,0.0,0.3743,0.0362
0.005,2024,18,3,4,0.3673,0.7126,0.0571,0.1429,0.0,0.2696,-0.1321,-0.0763
