window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
121,4737,2866,1,5,3,1.9721,1,15.1,2,2859,4.42,0.9832,2915.0,7,1.0,43,3,2,877,0.001574,0.0518,20.5761,120,55.6,0.0243,0.0088,1,0,0,0,0.091633,0.015625,31,0.8295,6.8143,0.4619,0.003856
122,4737,2951,0,0,3,1.9834,1,15.2,2951,0,4.47,1.0112,2918.4,0,1.0,43,0,0,862,0.001401,0.0444,0.0,121,56.6,0.0246,0.0097,0,0,0,0,0.068548,0.015625,31,0.7721,6.8828,0.4624,0.003872
123,4737,2980,0,0,3,1.952,1,15.2,2977,0,4.49,1.0191,2924.3,3,1.0,43,3,3,880,0.001647,0.0455,0.0,122,57.6,0.0247,0.0107,0,0,0,0,0.086777,0.015625,31,0.8199,6.949,0.4625,0.003884
124,4737,2946,2,5,3,1.952,1,15.2,2936,0,4.44,1.0067,2926.3,10,1.0,45,2,0,901,0.001587,0.0386,39.6825,123,56.0,0.0226,0.0081,2,0,0,0,0.073359,0.015625,32,0.787,7.0223,0.4631,0.003893
125,4737,2925,2,4,1,1.982,1,15.3,5,2917,4.44,0.9996,2926.2,8,1.0,46,4,3,928,0.001522,0.0427,22.1402,121,53.1,0.0227,0.009,0,0,0,0,0.078292,0.015625,33,0.8004,7.1006,0.4637,0.003898
126,4737,2988,0,0,1,1.9904,2,15.2,2985,0,4.51,1.0194,2932.2,4,1.0,46,0,0,911,0.001612,0.0425,15.625,122,54.1,0.0226,0.0088,0,0,0,0,0.111969,0.015625,32,0.8605,7.1431,0.4639,0.0039
127,4737,2910,2,5,3,1.9792,1,15.3,4,2896,4.5,0.9931,2930.1,14,1.0,48,2,0,948,0.001829,0.0662,50.5415,123,52.8,0.0215,0.011,2,0,0,0,0.090592,0.015625,32,0.8275,7.2093,0.4644,0.003898
128,4737,2830,1,5,3,1.9656,1,15.2,6,2814,4.34,0.969,2920.5,16,1.0,50,3,1,980,0.001443,0.0337,55.5556,124,51.6,0.0205,0.0076,1,0,0,0,0.080808,0.015625,33,0.8066,7.2631,0.4651,0.003893
129,4737,2877,1,5,3,1.997,2,15.2,5,2872,4.41,0.9865,2916.4,5,1.0,49,1,2,995,0.001813,0.0483,17.7305,125,53.6,0.0217,0.0096,1,0,0,0,0.082759,0.015625,32,0.8112,7.2976,0.4654,0.003884
130,4737,2998,2,5,1,1.9634,2,15.1,2990,0,4.55,1.0252,2924.2,8,1.0,51,2,0,1012,0.001573,0.0428,25.2366,126,52.5,0.0212,0.0081,1,0,0,0,0.070336,0.015625,32,0.7779,7.3466,0.466,0.003872
131,4737,2848,0,0,3,1.9737,2,15.1,0,2848,4.38,0.9764,2916.9,0,1.0,51,0,0,1012,0.00151,0.0341,0.0,127,53.5,0.02,0.0084,0,0,0,0,0.071672,0.015625,32,0.782,7.4046,0.4667,0.003856
132,4736,2925,2,5,1,1.9501,1,15.1,2916,0,4.4,1.0025,2917.7,9,1.0,53,4,2,1032,0.001416,0.0382,28.8809,128,52.3,0.0199,0.0074,1,1,0,0,0.069444,0.015625,33,0.775,7.4532,0.4672,0.003837
133,4736,3008,2,4,3,1.8916,1,15.1,3009,0,4.55,1.0304,2927.0,7,1.0,54,4,3,1056,0.001414,0.0359,21.6718,129,52.3,0.0192,0.0074,0,0,0,0,0.071856,0.015625,36,0.7826,7.5041,0.4673,0.003814
134,4736,2903,1,4,3,1.8736,2,15.1,4,2899,4.4,0.9926,2924.8,4,1.0,55,1,0,1057,0.001547,0.0385,13.289,130,52.3,0.0184,0.0074,0,0,0,0,0.054487,0.015625,36,0.7132,7.5586,0.4668,0.003789
135,4736,2806,0,0,3,1.8954,2,15.0,4,2802,4.39,0.9631,2913.4,4,1.0,53,0,2,1047,0.001481,0.0418,15.444,131,53.3,0.0191,0.0089,0,1,0,0,0.072243,0.015625,35,0.7837,7.608,0.4667,0.00376
136,4736,2901,0,0,3,1.8284,1,15.2,4,2897,4.4,0.9961,2912.3,4,1.0,51,0,2,1014,0.001292,0.045,14.1343,132,54.8,0.0198,0.008,0,0,0,0,0.065744,0.015625,34,0.7623,7.6737,0.4668,0.003728
137,4736,2931,1,4,3,1.8401,1,15.0,2927,0,4.42,1.0058,2914.0,4,1.0,52,1,0,1020,0.001283,0.0396,13.6986,133,54.7,0.0198,0.0084,0,0,0,0,0.059406,0.015625,33,0.737,7.7299,0.4668,0.003693
138,4734,2961,0,0,3,1.7983,1,15.0,2961,0,4.43,1.0146,2918.5,0,1.0,52,0,0,1019,0.001298,0.0366,0.0,134,55.7,0.0198,0.0085,0,0,0,0,0.079268,0.015625,33,0.8029,7.803,0.4671,0.003656
139,4734,2976,0,0,3,1.734,1,15.0,2975,0,4.54,1.0178,2924.0,1,1.0,52,1,1,1027,0.001174,0.0448,3.8911,135,56.7,0.0209,0.0099,0,0,0,0,0.089552,0.015625,34,0.8255,7.8777,0.4675,0.003616
140,4734,2944,1,5,3,1.7347,1,15.0,2939,0,4.49,1.0062,2925.9,5,1.0,53,1,0,1034,0.001254,0.0361,16.6113,136,56.6,0.0191,0.0072,1,0,0,0,0.065574,0.015625,34,0.7617,7.9399,0.4678,0.003574
141,4734,2808,0,0,3,1.7861,1,15.0,0,2808,4.39,0.9634,2914.7,0,1.0,53,0,0,1034,0.001046,0.0475,0.0,137,57.6,0.0199,0.0091,0,0,0,0,0.077966,0.015625,34,0.7996,8.0179,0.4683,0.003529
142,4734,2998,0,0,3,1.9329,1,14.9,2999,0,4.48,1.0261,2922.7,0,1.0,53,0,0,1034,0.001121,0.0398,0.0,138,58.6,0.0205,0.0085,0,0,0,0,0.076453,0.015625,34,0.7956,8.0944,0.4687,0.003482
143,4734,2990,2,3,3,1.9133,1,15.0,2987,0,4.47,1.0208,2929.1,3,1.0,54,2,1,1057,0.001045,0.0383,10.7914,139,58.4,0.019,0.0081,0,0,0,0,0.076655,0.015625,36,0.7962,8.1536,0.4689,0.003434
144,4734,2956,3,5,3,1.9133,1,15.0,2939,0,4.52,1.0083,2931.7,17,1.0,59,6,1,1100,0.001229,0.0414,49.3827,140,54.4,0.0185,0.0082,1,0,0,0,0.065089,0.015625,37,0.7599,8.2039,0.4691,0.003383
145,4734,2992,0,0,0,1.9499,2,15.1,2985,0,4.53,1.0186,2937.4,7,1.0,57,4,6,1096,0.001132,0.0383,21.4067,141,56.7,0.0174,0.0077,0,1,0,0,0.064897,0.015625,35,0.7592,8.2422,0.4691,0.003331
146,4734,2931,2,3,3,1.9628,1,15.0,16,2915,4.46,0.998,2936.8,16,1.0,59,7,5,1102,0.001119,0.0393,48.3384,142,55.7,0.0179,0.0082,0,0,0,0,0.067416,0.015625,37,0.7682,8.3012,0.4695,0.003278
147,4734,3008,0,0,3,1.841,1,15.1,2992,0,4.54,1.0219,2943.6,16,1.0,57,0,2,1070,0.00116,0.0335,51.9481,143,56.1,0.0176,0.0059,0,1,0,0,0.064024,0.015625,35,0.756,8.3561,0.4694,0.003224
148,4734,2991,3,5,3,1.9837,1,15.0,2966,0,4.54,1.0146,2948.1,25,1.0,60,7,4,1138,0.001203,0.0424,73.0159,144,54.2,0.0168,0.0076,1,0,0,0,0.054545,0.015625,37,0.7135,8.4076,0.469,0.003169
149,4734,2982,2,5,3,1.9768,1,15.1,2965,0,4.55,1.0104,2951.3,17,1.0,63,6,3,1162,0.001269,0.0369,44.6429,145,52.6,0.0161,0.0067,1,0,0,0,0.065341,0.015625,35,0.7609,8.4588,0.4691,0.003113
150,4734,2991,0,0,3,1.9821,2,14.9,2983,0,4.54,1.0121,2955.1,8,1.0,60,0,3,1141,0.00109,0.0296,27.1186,146,56.2,0.018,0.0074,0,0,0,0,0.075658,0.015625,35,0.7935,8.5344,0.4697,0.003057
151,4734,2836,0,0,3,1.9994,1,15.1,3,2823,4.41,0.9634,2943.8,13,1.0,63,5,2,1148,0.001149,0.0357,40.8805,147,54.4,0.0179,0.0073,0,0,0,0,0.074405,0.015625,38,0.79,8.6088,0.4699,0.003
