seed,rate,window,n_C,k_star_D1,k_star_D2,J3_D1,J3_D2,J4_D1,J4_D2,H3_D1,H3_D2,H2_D1,dH32_D1,dH32_D2,dJ34_D1,none_ratio,mid_share,strong_share,weak_share,none_D2,weak_D2,mid_D2,strong_D2
456,0.0,8,18,3,3,1.8499,1.8499,1.8499,1.8499,2.1714,2.1714,1.7472,0.4242,0.4242,0.0,0.2778,0.2778,0.2222,0.2222,5,4,5,4
456,0.0,9,7,3,3,0.9421,0.9421,0.9421,0.9421,1.1488,1.1488,1.1488,0.0,0.0,0.0,0.8571,0.0,0.1429,0.0,6,0,0,1
456,0.0,10,8,3,3,0.8339,0.8339,0.8339,0.8339,1.5488,1.5488,1.0613,0.4875,0.4875,0.0,0.75,0.125,0.0,0.125,6,1,1,0
456,0.0,11,15,3,3,-0.0007,-0.0007,-0.0007,-0.0007,0.6998,0.6998,0.6998,0.0,0.0,0.0,0.9333,0.0667,0.0,0.0,14,0,1,0
456,0.0,12,18,3,3,0.1907,0.1907,0.1907,0.1907,0.8031,0.8031,0.5033,0.2998,0.2998,0.0,0.8333,0.0,0.1111,0.0556,15,1,0,2
456,0.0,13,18,3,3,0.5744,0.5744,0.5744,0.5744,1.4108,1.4108,0.6144,0.7964,0.7964,0.0,0.6667,0.0,0.0556,0.2778,12,5,0,1
456,0.0,14,15,3,3,-0.0218,-0.0218,-0.0218,-0.0218,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15,0,0,0
456,0.0,15,16,3,3,-0.0755,-0.0755,-0.0755,-0.0755,0.6686,0.6686,0.3373,0.3313,0.3313,0.0,0.875,0.0,0.0625,0.0625,14,1,0,1
456,0.0,16,17,3,3,0.8678,0.8678,0.8678,0.8678,1.7804,1.7804,1.3216,0.4588,0.4588,0.0,0.7059,0.1176,0.0588,0.1176,12,2,2,1
456,0.0,17,15,3,3,0.3408,0.3408,0.3408,0.3408,1.2366,1.2366,1.2366,0.0,0.0,0.0,0.8,0.1333,0.0667,0.0,12,0,2,1
456,0.0,18,15,2,2,0.1811,0.1811,0.1811,0.1811,0.9056,0.9056,0.9056,0.0,0.0,0.0,0.8667,0.0,0.1333,0.0,13,0,0,2
456,0.0,19,28,3,3,-0.0023,-0.0023,-0.0023,-0.0023,0.806,0.806,0.4427,0.3633,0.3633,0.0,0.8929,0.0357,0.0,0.0714,25,2,1,0
456,0.0,20,12,3,3,1.1288,1.1288,1.1288,1.1288,1.7842,1.7842,1.4834,0.3008,0.3008,0.0,0.5,0.4167,0.0,0.0833,6,1,5,0
456,0.0,21,9,3,3,0.9103,0.9103,0.9103,0.9103,1.8366,1.8366,1.2244,0.6122,0.6122,0.0,0.5556,0.2222,0.0,0.2222,5,2,2,0
456,0.0,22,14,3,3,0.0974,0.0974,0.0974,0.0974,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,0,0,0
