seed,rate,window,J3,H3,none_ratio,mid_share,strong_share,weak_share,n_C
55,0.0005,20,0.1283,0.5665,0.8667,0.0,0.0,0.1333,15
55,0.0005,21,-0.2604,0.5033,0.8889,0.0,0.0,0.1111,18
55,0.0005,25,1.1894,1.7925,0.6667,0.0,0.1667,0.1667,12
123,0.0005,1,-0.0835,1.0775,0.8475,0.0,0.0847,0.0678,118
123,0.0005,2,0.6699,1.4667,0.7838,0.1486,0.0,0.0676,74
123,0.0005,3,0.7637,1.5284,0.7083,0.0,0.125,0.1667,24
123,0.0005,4,1.0811,2.0182,0.6842,0.1053,0.1579,0.0526,19
123,0.0005,5,0.1141,-0.0,1.0,0.0,0.0,0.0,13
123,0.0005,6,0.8293,1.5104,0.7826,0.0,0.1739,0.0435,23
123,0.0005,7,0.0587,0.9934,0.875,0.0,0.0625,0.0625,16
123,0.0005,8,1.1534,1.8323,0.5333,0.1333,0.0,0.3333,15
123,0.0005,9,0.4656,0.8454,0.7273,0.0,0.0,0.2727,11
123,0.0005,10,1.3216,2.0226,0.6,0.0667,0.2667,0.0667,15
123,0.0005,13,0.9541,1.6135,0.6842,0.0,0.1053,0.2105,19
123,0.0005,14,0.0015,-0.0,1.0,0.0,0.0,0.0,12
123,0.0005,15,1.106,1.6767,0.5455,0.0,0.0909,0.3636,11
123,0.0005,18,-0.1492,0.7196,0.92,0.0,0.04,0.04,25
123,0.0005,19,-0.0787,0.7476,0.85,0.0,0.05,0.1,20
123,0.0005,20,-0.0452,0.6686,0.9375,0.0,0.0625,0.0,16
123,0.0005,22,0.3799,-0.0,1.0,0.0,0.0,0.0,4
123,0.0005,23,1.1261,1.8776,0.7143,0.1429,0.0952,0.0476,21
123,0.0005,24,0.4285,1.2332,0.7778,0.0556,0.0,0.1667,18
123,0.0005,25,0.0631,0.5033,0.8889,0.1111,0.0,0.0,9
314,0.0005,1,0.3323,1.6248,0.7476,0.068,0.0777,0.1068,103
314,0.0005,2,0.0118,0.9111,0.8857,0.0857,0.0,0.0286,70
314,0.0005,7,0.8087,1.5016,0.75,0.1875,0.0,0.0625,16
314,0.0005,8,-0.032,-0.0,1.0,0.0,0.0,0.0,16
314,0.0005,9,0.5229,1.2772,0.7647,0.0588,0.0,0.1765,17
314,0.0005,12,0.7461,1.2608,0.6471,0.1176,0.0,0.2353,17
314,0.0005,15,0.1087,-0.0,1.0,0.0,0.0,0.0,12
314,0.0005,16,1.5628,1.9713,0.5294,0.0,0.2941,0.1765,17
314,0.0005,17,0.8432,1.7652,0.6667,0.0,0.2222,0.1111,18
314,0.0005,18,0.2353,0.7345,0.9286,0.0714,0.0,0.0,14
314,0.0005,19,0.3224,1.1451,0.8462,0.0,0.0769,0.0769,13
314,0.0005,20,0.9268,1.6574,0.7368,0.2105,0.0526,0.0,19
314,0.0005,24,0.5035,0.7554,0.7826,0.0,0.0,0.2174,23
456,0.0005,1,-0.2589,1.0336,0.8614,0.0594,0.0099,0.0693,101
456,0.0005,3,0.416,1.4473,0.8261,0.0435,0.087,0.0435,23
456,0.0005,4,0.7761,1.8811,0.6923,0.0769,0.0769,0.1538,13
456,0.0005,20,0.7702,1.3294,0.625,0.0,0.1875,0.1875,16
456,0.0005,21,1.5622,2.2892,0.4667,0.2,0.1333,0.2,15
456,0.0005,22,0.281,-0.0,1.0,0.0,0.0,0.0,16
456,0.0005,23,0.4607,1.2366,0.8,0.0,0.1333,0.0667,15
456,0.0005,24,-0.115,-0.0,1.0,0.0,0.0,0.0,8
456,0.0005,25,0.2363,1.0534,0.8261,0.0,0.0435,0.1304,23
789,0.0005,2,-0.0791,1.0115,0.8452,0.0119,0.0357,0.1071,84
789,0.0005,5,0.0816,-0.0,1.0,0.0,0.0,0.0,13
789,0.0005,6,0.4468,1.0529,0.7222,0.0,0.0556,0.2222,18
789,0.0005,7,0.3086,0.7219,0.8,0.0,0.2,0.0,15
789,0.0005,9,0.4284,1.4082,0.7917,0.0417,0.0417,0.125,24
789,0.0005,10,0.6156,1.7723,0.6667,0.0476,0.0952,0.1905,21
789,0.0005,11,0.6146,1.4466,0.7778,0.1111,0.1111,0.0,9
789,0.0005,12,-0.036,0.2975,0.9474,0.0,0.0,0.0526,19
789,0.0005,13,-0.2692,0.4537,0.9048,0.0,0.0,0.0952,21
789,0.0005,14,-0.0334,0.6402,0.9412,0.0588,0.0,0.0,17
789,0.0005,15,1.242,2.0742,0.6429,0.1429,0.0714,0.1429,14
789,0.0005,16,0.7869,1.9254,0.6471,0.2353,0.0588,0.0588,17
789,0.0005,17,0.8467,1.6258,0.5833,0.0833,0.0,0.3333,12
789,0.0005,18,0.7606,1.4838,0.7857,0.0,0.1429,0.0714,14
789,0.0005,21,0.6111,1.6184,0.7059,0.1765,0.0,0.1176,17
789,0.0005,22,0.0399,0.4138,0.9167,0.0,0.0,0.0833,12
789,0.0005,23,0.6908,1.6137,0.7647,0.0588,0.0588,0.1176,17
789,0.0005,24,-0.0769,0.3373,0.9375,0.0,0.0,0.0625,16
789,0.0005,25,1.3472,1.9183,0.5,0.0,0.1667,0.3333,6
999,0.0005,1,-0.4453,0.7156,0.9057,0.0,0.0283,0.066,106
999,0.0005,2,0.6528,1.6145,0.7794,0.0735,0.1176,0.0294,68
999,0.0005,3,0.1635,0.8842,0.85,0.0,0.15,0.0,20
999,0.0005,4,0.6394,1.3716,0.8125,0.125,0.0,0.0625,16
999,0.0005,7,-0.0473,0.4395,0.9091,0.0,0.0,0.0909,11
999,0.0005,8,0.6099,1.1568,0.8,0.0,0.2,0.0,10
999,0.0005,9,1.3866,2.1451,0.5294,0.2353,0.0588,0.1765,17
999,0.0005,10,0.7301,1.4911,0.7273,0.0,0.0909,0.1818,11
999,0.0005,11,0.0803,0.5436,0.875,0.0,0.0,0.125,16
999,0.0005,14,0.436,0.7219,0.8,0.0,0.0,0.2,10
999,0.0005,15,0.9735,1.361,0.6,0.0,0.4,0.0,10
999,0.0005,17,0.7837,1.6267,0.7857,0.0714,0.0714,0.0714,14
999,0.0005,18,0.0221,0.4138,0.9167,0.0,0.0,0.0833,24
999,0.0005,19,-0.2927,-0.0,1.0,0.0,0.0,0.0,11
999,0.0005,20,1.3901,1.9219,0.6,0.2,0.0,0.2,5
999,0.0005,21,1.1065,1.8424,0.5714,0.0,0.1429,0.2857,7
999,0.0005,22,0.8013,1.5488,0.75,0.125,0.0,0.125,8
999,0.0005,25,0.3141,0.7219,0.8,0.0,0.0,0.2,5
1337,0.0005,1,-0.4689,0.8236,0.9,0.0455,0.0091,0.0455,110
1337,0.0005,2,0.9983,1.7623,0.6567,0.2687,0.0,0.0746,67
1337,0.0005,3,0.3046,0.9882,0.8571,0.0,0.0476,0.0952,21
1337,0.0005,4,0.4849,1.3568,0.8,0.1,0.0,0.1,10
1337,0.0005,9,0.9384,1.736,0.7059,0.0588,0.0588,0.1765,17
