seed,rate,window,k_star,is_switch,J2,J3,J4,dJ34,dJ32,H2,H3,H4,dH32,dH43,none_ratio,mid_strong_ratio,n_C
55,0.0005,1,0,0,-0.6478,-0.5297,-0.6173,-0.0876,0.1181,0.5132,0.7628,0.7864,0.2496,0.0236,0.906,0.0513,117
55,0.0005,2,4,1,-0.4637,-0.2506,-0.1791,0.0715,0.2131,0.6212,0.9544,0.9544,0.3332,0.0,0.8846,0.0513,78
55,0.0005,3,3,0,0.2674,0.5742,0.5742,0.0,0.3068,1.2366,1.658,1.658,0.4214,0.0,0.7667,0.1333,30
55,0.0005,4,3,0,-0.115,-0.0382,-0.0382,0.0,0.0768,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,12
55,0.0005,1,0,0,-0.6478,-0.5297,-0.6173,-0.0876,0.1181,0.5132,0.7628,0.7864,0.2496,0.0236,0.906,0.0513,117
55,0.0005,2,4,0,-0.4637,-0.2506,-0.1791,0.0715,0.2131,0.6212,0.9544,0.9544,0.3332,0.0,0.8846,0.0513,78
55,0.0005,3,3,1,0.2674,0.5742,0.5742,0.0,0.3068,1.2366,1.658,1.658,0.4214,0.0,0.7667,0.1333,30
55,0.0005,4,3,0,-0.115,-0.0382,-0.0382,0.0,0.0768,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,12
55,0.0005,5,1,0,-0.1362,-0.1362,-0.1362,0.0,0.0,0.4395,0.4395,0.4395,0.0,0.0,0.9091,0.0909,11
55,0.0005,3,3,0,0.2674,0.5742,0.5742,0.0,0.3068,1.2366,1.658,1.658,0.4214,0.0,0.7667,0.1333,30
55,0.0005,4,3,0,-0.115,-0.0382,-0.0382,0.0,0.0768,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,12
55,0.0005,5,1,1,-0.1362,-0.1362,-0.1362,0.0,0.0,0.4395,0.4395,0.4395,0.0,0.0,0.9091,0.0909,11
55,0.0005,6,3,0,0.1779,0.6564,0.6564,0.0,0.4785,0.6194,1.1982,1.1982,0.5788,0.0,0.6923,0.1538,13
55,0.0005,7,4,0,0.632,0.8673,0.9228,0.0555,0.2353,1.4183,1.7807,1.9473,0.3624,0.1666,0.75,0.1667,12
55,0.0005,4,3,0,-0.115,-0.0382,-0.0382,0.0,0.0768,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,12
55,0.0005,5,1,0,-0.1362,-0.1362,-0.1362,0.0,0.0,0.4395,0.4395,0.4395,0.0,0.0,0.9091,0.0909,11
