window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
154,4832,3078,1,3,3,1.9488,2,15.7,3074,0,4.62,1.0066,3067.6,14,1.0,86,8,8,1579,0.000835,0.0275,28.9855,153,61.8,0.0124,0.0058,0,1,0,0,0.054902,0.015625,55,0.7154,8.4427,0.4052,29,3,54,802,1181,496,0.0006,0.9994,784.7,3.7,0.0506,0.015686,0.007621,2.0583,1.1058,0
155,4828,3006,1,4,3,1.9377,2,15.9,0,2996,4.56,0.9818,3061.8,10,1.0,84,1,3,1542,0.000871,0.0406,21.4592,154,64.3,0.0133,0.0059,0,0,0,0,0.048682,0.015625,55,0.679,8.4752,0.4041,29,3,52,773,1204,493,0.0008,0.9992,781.9,3.7,0.0507,0.01217,0.008054,1.511,1.0511,0
156,4825,3058,1,3,3,1.9247,2,15.8,0,3043,4.5,0.9989,3061.4,15,1.0,83,4,5,1542,0.000788,0.0256,31.7797,155,65.9,0.0129,0.0055,0,1,0,0,0.045365,0.015625,54,0.6556,8.4929,0.403,30,3,50,785,1203,515,0.001,0.999,802.2,3.7,0.0506,0.013807,0.008602,1.605,1.0605,0
157,4823,3049,2,5,3,1.9733,2,15.7,5,3034,4.45,0.9963,3060.2,15,1.0,82,2,3,1538,0.000817,0.0269,30.5499,156,67.5,0.0128,0.0048,2,0,0,0,0.042226,0.015625,52,0.63,8.5179,0.4022,31,2,49,776,1179,542,0.0016,0.9984,837.2,3.8,0.0507,0.005758,0.008331,0.6912,0.9691,0
158,4816,3088,1,4,3,1.9518,2,16.0,3097,0,4.59,1.012,3064.1,4,1.0,79,1,4,1519,0.000761,0.0325,8.5288,157,70.9,0.0136,0.006,0,0,0,0,0.058824,0.015625,50,0.7344,8.5402,0.4014,28,2,49,774,1240,487,0.0008,0.9992,823.6,4.0,0.0507,0.006085,0.008117,0.7497,0.975,0
159,4810,3022,1,5,3,1.9621,2,15.7,0,3017,4.54,0.9876,3060.1,5,1.0,79,1,1,1512,0.000641,0.026,11.2867,158,71.9,0.0129,0.0053,1,0,0,0,0.047722,0.015625,50,0.6726,8.551,0.4005,27,2,50,759,1153,524,0.0011,0.9989,838.7,3.9,0.0508,0.0,0.007344,0.0,0.9,0
160,4803,2930,1,3,3,1.9197,2,15.9,0,2925,4.45,0.9614,3047.7,5,1.0,80,4,3,1531,0.000672,0.0301,11.4679,159,72.0,0.013,0.0056,0,0,0,0,0.058065,0.015625,51,0.7309,8.5618,0.3996,28,3,49,740,1133,506,0.0004,0.9996,807.9,4.0,0.0508,0.008602,0.007464,1.1525,1.0152,0
161,4801,2892,0,0,3,1.9641,2,15.5,0,2892,4.45,0.9536,3032.9,0,1.0,79,0,1,1517,0.000631,0.0265,0.0,160,73.8,0.0138,0.0056,0,1,0,0,0.055188,0.015625,51,0.7169,8.5817,0.3988,28,3,48,769,1095,479,0.0016,0.9984,816.8,3.6,0.0508,0.002208,0.006963,0.317,0.9317,0
162,4799,3055,1,5,1,1.9875,1,15.6,3063,0,4.63,1.0105,3036.2,5,1.0,79,1,1,1511,0.000574,0.0263,11.5473,161,74.8,0.0133,0.0053,1,0,0,0,0.04814,0.015625,51,0.6754,8.6035,0.3983,28,2,49,742,1254,501,0.0009,0.9991,829.7,3.8,0.0508,0.004376,0.006717,0.6515,0.9652,0
163,4798,3063,3,5,2,1.9686,1,15.4,3067,0,4.62,1.0154,3041.2,21,1.0,83,7,3,1562,0.000707,0.0312,41.4079,162,72.1,0.0127,0.0051,2,0,0,0,0.05653,0.015625,51,0.7236,8.6172,0.3972,30,2,51,744,1241,495,0.0016,0.9984,857.5,3.8,0.0508,0.005848,0.006634,0.8815,0.9881,0
164,4793,3013,5,5,3,1.9339,2,15.6,6,2982,4.58,0.9916,3038.5,31,1.0,90,10,3,1608,0.00086,0.0258,60.4288,163,66.5,0.0117,0.0049,2,0,0,0,0.059041,0.015625,51,0.7354,8.6375,0.3961,31,5,54,752,1232,471,0.0008,0.9992,812.4,3.8,0.0507,0.00369,0.006354,0.5808,0.9581,0
165,4788,3109,0,0,3,1.9634,2,15.6,3132,0,4.64,1.0322,3048.8,15,1.0,88,1,3,1606,0.000754,0.0292,30.9278,164,69.0,0.0115,0.0052,0,0,0,0,0.05848,0.015625,50,0.7328,8.6667,0.3951,30,5,53,772,1307,489,0.0008,0.9992,817.8,3.9,0.0507,0.007797,0.006491,1.2012,1.0201,0
166,4785,2994,2,5,1,1.9904,1,15.4,12,2977,4.45,0.9837,3043.6,17,1.0,85,5,8,1582,0.000759,0.0247,33.8645,165,69.6,0.0122,0.0049,1,4,0,0,0.047438,0.015625,50,0.6706,8.6933,0.3939,30,5,50,777,1198,485,0.0012,0.9988,822.1,3.7,0.0507,0.009488,0.006777,1.4,1.04,0
167,4785,3042,1,5,3,1.982,1,15.5,13,3025,4.54,0.9995,3043.4,17,1.0,86,5,4,1573,0.000768,0.023,37.4449,166,69.7,0.0119,0.0044,1,0,0,0,0.056485,0.015625,51,0.7234,8.7058,0.3929,30,4,52,755,1184,505,0.001,0.999,791.8,3.8,0.0509,0.01046,0.007128,1.4676,1.0468,0
168,4783,2997,1,3,1,1.9937,2,15.3,21,2976,4.53,0.9862,3039.0,21,1.0,89,6,3,1557,0.000769,0.0218,43.5685,167,67.2,0.0118,0.0044,0,0,0,0,0.043564,0.015625,52,0.6413,8.7237,0.3918,31,5,53,723,1248,463,0.0012,0.9988,810.0,3.7,0.0508,0.0,0.006449,0.0,0.9,0
169,4779,3106,2,4,1,1.9911,2,15.4,3126,0,4.76,1.0312,3049.0,18,1.0,89,2,2,1580,0.000677,0.0244,36.0721,168,68.2,0.0117,0.0047,0,0,0,0,0.061914,0.015625,52,0.7476,8.733,0.3908,31,3,55,798,1210,525,0.0005,0.9995,760.0,3.9,0.051,0.005629,0.006371,0.8835,0.9884,0
170,4775,3088,2,3,1,1.9749,2,15.3,3083,0,4.66,1.016,3054.2,20,1.0,89,3,3,1596,0.000682,0.0233,36.2595,169,68.9,0.0116,0.0043,0,0,0,0,0.053667,0.015625,53,0.7089,8.7581,0.39,31,3,55,773,1268,475,0.0009,0.9991,804.6,3.9,0.0512,0.007156,0.006445,1.1102,1.011,0
171,4773,3031,1,4,3,1.9865,2,15.4,11,3020,4.55,0.9931,3051.9,11,1.0,84,1,6,1586,0.000642,0.0211,20.5993,169,71.8,0.0122,0.0043,0,1,0,0,0.051056,0.015625,50,0.694,8.7775,0.3892,29,2,53,736,1186,537,0.001,0.999,816.7,3.9,0.0511,0.015845,0.007341,2.1586,1.1159,0
172,4767,3036,2,5,3,1.9887,2,15.3,11,3017,4.55,0.9953,3050.4,19,1.0,87,8,5,1595,0.00075,0.0277,39.5833,170,70.1,0.0119,0.0054,1,1,0,0,0.059406,0.015625,49,0.737,8.7992,0.3882,30,2,55,763,1219,475,0.001,0.999,791.2,3.7,0.0508,0.011881,0.007773,1.5285,1.0529,0
173,4765,3099,1,5,3,1.9751,2,15.5,3164,0,4.73,1.0371,3062.4,12,1.0,87,2,2,1587,0.000738,0.0206,21.6535,171,71.0,0.0122,0.0049,1,0,0,0,0.06379,0.015625,49,0.7551,8.8293,0.3875,30,2,55,839,1245,434,0.001,0.999,789.5,3.7,0.0508,0.005629,0.007569,0.7436,0.9744,0
