window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds,max_lifespan,mean_continuity,max_continuity,mean_turnover_rate,resonant_incorporations,dissonant_incorporations,resonant_rejections,dissonant_rejections,resonance_total_events,resonance_ratio,pd_p_count,pd_d_count,pd_both_count,personalities_recorded,max_relaxed_lifespan,max_strict_lifespan,identity_stable,identity_drift,identity_new,identity_reformation,mean_jaccard,motif_alpha,motif_beta,motif_gamma,perstep_scans,perstep_contacts,perstep_boosts,perstep_boosted_pairs,perstep_total_boosts_cum
29,4999,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9612,-0.021,1,41.5,1,0.0,0.0,0.0,0,0,19,20,39,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,656
30,4999,3035,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.9053,-0.0559,1,41.1,1,0.0,0.0,0.0,0,0,19,20,39,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,656
31,4998,3060,2,0,2,8,1.0,1,0,0,0,0,0,0,0,3,1.9587,0.0534,1,40.8,1,0.0,0.0,0.0,0,0,16,17,33,0.0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0,10,150,25,13,681
32,4997,3138,2,0,2,5,0.6,1,0,0,0,0,0,0,0,1,1.9913,0.0326,2,41.3,1,0.0,0.0,0.0,0,0,22,24,46,0.0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0,10,360,52,23,733
33,4997,3082,1,0,1,4,1.0,1,0,0,0,0,0,0,0,2,1.997,0.0057,2,41.5,1,0.0,0.0,0.0,0,0,26,31,57,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,310,69,23,802
34,4996,3115,1,0,1,5,0.16,1,0,0,0,0,0,0,0,1,1.9821,-0.0149,2,42.1,1,0.0,0.0,0.0,0,0,25,31,56,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,70,20,6,822
35,4996,3104,1,0,1,5,0.9143,2,0,0,0,0,0,0,0,0,1.9785,-0.0036,2,42.3,2,0.0,0.0,0.0,0,0,26,30,56,0.0,0,0,0,0,2,2,0,0,0,1,0.0,0,0,0,10,80,15,5,837
36,4994,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9082,-0.0703,2,40.4,2,0.0,0.0,0.0,0,0,28,35,63,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,160,29,12,866
37,4992,3098,1,0,1,5,0.9,1,0,0,0,0,0,0,0,3,1.8333,-0.075,1,42.1,2,0.0,0.0,0.0,0,0,24,29,53,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,866
38,4990,3100,1,0,1,5,0.4,1,0,0,0,0,0,0,0,3,1.8537,0.0204,1,42.8,2,0.0,0.0,0.0,0,0,25,27,52,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,120,24,10,890
39,4990,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9716,0.1179,2,42.9,2,0.0,0.0,0.0,0,0,25,28,53,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,30,4,2,894
40,4990,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9794,0.0078,1,43.2,2,0.0,0.0,0.0,0,0,25,28,53,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,894
41,4990,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9794,0.0,1,42.5,2,0.0,0.0,0.0,0,0,22,25,47,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,894
42,4987,2968,1,0,1,4,1.0,1,0,0,0,0,0,0,0,1,1.962,-0.0173,1,43.0,2,0.0,0.0,0.0,0,0,16,18,34,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,894
43,4985,3086,1,0,1,3,0.0,1,0,0,0,0,0,0,0,3,1.9539,-0.0081,1,43.2,2,0.0,0.0,0.0,0,0,13,17,30,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,70,10,5,904
44,4985,3137,1,0,1,5,0.6857,1,0,0,0,0,0,0,0,3,1.9794,0.0255,2,43.3,2,0.0,0.0,0.0,0,0,14,18,32,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,80,7,3,911
45,4985,3040,1,0,1,4,1.5,1,0,0,0,0,0,0,0,3,1.9585,-0.0209,2,43.3,2,0.0,0.0,0.0,0,0,13,21,34,0.0,0,1,0,0,1,1,0,0,1,0,0.0,0,0,0,10,120,19,8,930
46,4983,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9103,-0.0482,2,42.8,1,0.0,0.0,0.0,0,0,9,11,20,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,40,1,1,931
47,4979,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9132,0.0029,1,43.0,1,0.0,0.0,0.0,0,0,9,11,20,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,931
48,4977,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9561,0.0429,1,43.4,1,0.0,0.0,0.0,0,0,5,11,16,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,931
49,4974,3113,1,0,1,5,0.1333,1,0,0,0,0,0,0,0,3,1.9899,0.0339,1,42.8,1,0.0,0.0,0.0,0,0,5,10,15,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,0,0,0,931
50,4973,3094,1,0,1,5,0.64,1,0,0,0,0,0,0,0,3,1.8783,-0.1116,1,42.4,1,0.0,0.0,0.0,0,0,9,12,21,0.0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,0,10,80,18,6,949
