seed,window,rate,k_star,J_star,type_count,H,drift
42,17,0.0005,3,0.472,2,0.7642,0.5003
42,18,0.0005,3,0.766,5,1.668,0.3905
42,19,0.0005,4,0.5865,5,1.6282,0.2508
42,20,0.0005,4,0.453,3,1.1033,0.3497
42,21,0.0005,2,0.988,4,1.8366,0.3124
42,22,0.0005,4,1.0619,3,1.3516,0.7103
42,23,0.0005,4,1.2456,5,1.8676,0.6705
42,24,0.0005,3,0.3995,2,0.6194,0.5726
42,25,0.0005,3,0.4212,3,0.9864,0.4348
55,1,0.0005,0,-0.5,1,-0.0,
55,2,0.0005,4,-0.1791,5,0.9544,0.159
55,3,0.0005,3,0.5741,5,1.658,0.2086
55,4,0.0005,3,-0.0382,1,-0.0,0.4618
55,5,0.0005,1,-0.1362,2,0.4395,0.2168
55,6,0.0005,3,0.6564,3,1.1982,0.4582
55,7,0.0005,4,0.9227,6,1.9473,0.3791
55,8,0.0005,4,0.5664,4,1.4183,0.3091
55,9,0.0005,3,0.7178,3,1.371,0.3468
55,10,0.0005,2,0.3869,4,1.2917,0.2562
55,11,0.0005,3,0.7319,4,1.4288,0.4641
55,12,0.0005,3,0.8666,4,1.8323,0.1953
55,13,0.0005,3,0.2883,3,0.8031,0.4852
55,14,0.0005,2,0.5685,4,1.4838,0.2457
55,15,0.0005,3,0.3156,5,1.2754,0.3327
55,16,0.0005,3,0.0737,3,0.7732,0.3005
55,17,0.0005,2,-0.2144,1,-0.0,0.2856
55,18,0.0005,4,1.1192,5,1.8811,0.5306
55,19,0.0005,4,0.2058,3,0.6402,0.5656
55,20,0.0005,3,0.1283,2,0.5665,0.3543
55,21,0.0005,3,-0.2604,2,0.5033,0.0288
55,22,0.0005,2,1.5305,3,1.5305,1.0
55,23,0.0005,4,1.1652,5,1.7534,0.7043
55,24,0.0005,2,0.0069,1,-0.0,0.5069
55,25,0.0005,3,1.1894,4,1.7925,0.5579
123,1,0.0005,3,-0.0835,4,1.0775,
123,2,0.0005,3,0.6698,4,1.4667,0.3641
123,3,0.0005,3,0.7637,4,1.5284,0.3963
123,4,0.0005,3,1.0811,5,2.0182,0.3554
123,5,0.0005,3,0.1141,1,-0.0,0.6141
123,6,0.0005,3,0.8293,4,1.5104,0.4799
123,7,0.0005,3,0.0587,4,0.9934,0.2263
123,8,0.0005,3,1.1534,4,1.8323,0.4821
123,9,0.0005,3,0.4656,2,0.8454,0.4127
123,10,0.0005,3,1.3216,5,2.0226,0.5915
123,11,0.0005,4,1.1242,5,1.823,0.5937
123,12,0.0005,4,0.0306,1,-0.0,0.5306
123,13,0.0005,3,0.954,4,1.6135,0.5015
123,14,0.0005,3,0.0015,1,-0.0,0.5015
123,15,0.0005,3,1.1059,4,1.6767,0.5902
123,16,0.0005,4,0.2905,3,0.7345,0.556
123,17,0.0005,4,0.5766,4,1.2776,0.46
123,18,0.0005,3,-0.1492,4,0.7196,0.2922
123,19,0.0005,3,-0.0787,3,0.7476,0.1737
123,20,0.0005,3,-0.0452,3,0.6686,0.2862
123,21,0.0005,4,1.6298,6,2.2999,0.7336
123,22,0.0005,3,0.3799,1,-0.0,0.8799
123,23,0.0005,3,1.1261,5,1.8776,0.541
123,24,0.0005,3,0.4284,4,1.2332,0.3562
123,25,0.0005,3,0.0631,2,0.5033,0.3523
314,1,0.0005,3,0.3323,5,1.6248,
314,2,0.0005,3,0.0118,4,0.9111,0.2617
314,3,0.0005,4,0.3957,5,1.3863,0.3019
314,4,0.0005,4,-0.1654,2,0.3095,0.3176
314,5,0.0005,2,0.4051,4,1.2433,0.3228
314,6,0.0005,2,-0.1102,1,-0.0,0.3898
314,7,0.0005,3,0.8086,4,1.5016,0.468
314,8,0.0005,3,-0.032,1,-0.0,0.468
314,9,0.0005,3,0.5229,4,1.2772,0.4067
314,10,0.0005,4,0.4516,3,1.1412,0.3104
314,11,0.0005,4,1.5173,5,2.1822,0.6276
314,12,0.0005,3,0.7461,3,1.2608,0.4853
314,13,0.0005,4,0.6972,6,1.7166,0.3843
314,14,0.0005,4,1.1195,5,2.1281,0.2839
314,15,0.0005,3,0.1087,1,-0.0,0.6087
314,16,0.0005,3,1.5627,4,1.9713,0.7524
