window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
25,5000,3205,2,4,3,1.9855,1,15.8,3,3197,4.71,0.9956,3219.1,8,1.0,70,8,10,933,0.003052,0.0341,25.89,24,17.2,0.0181,0.008,0,0,0,0,0.068111,0.015625,45,0.7706,1.212,0.341,33,12,25,803,1251,544,1.0,0.0,0,0,0,0.006192,0.005138,1.2051,1.1026,0
26,4998,3275,4,5,3,1.9783,2,15.9,3277,0,4.76,1.0244,3227.4,29,1.0,78,11,3,1001,0.002334,0.0328,91.7722,25,16.2,0.0183,0.0071,2,0,0,0,0.050746,0.015625,46,0.6921,1.2567,0.3401,35,14,29,834,1283,551,1.0,0.0,0,0,0,0.00597,0.005217,1.1443,1.0722,0
27,4997,3108,0,0,3,1.9846,2,15.9,12,3091,4.53,0.9664,3216.0,17,1.0,74,3,7,984,0.002353,0.0402,55.0162,26,16.9,0.0192,0.0077,0,0,0,0,0.065015,0.015625,47,0.7597,1.2877,0.3398,33,12,29,764,1257,506,1.0,0.0,0,0,0,0.006192,0.00531,1.1661,1.083,0
28,4997,3233,3,5,3,1.9313,1,15.9,3218,0,4.64,1.0076,3218.6,25,1.0,73,3,4,1009,0.002332,0.0449,84.4595,27,17.6,0.0202,0.0084,1,0,0,0,0.086538,0.015625,47,0.8194,1.3518,0.3405,33,11,29,867,1262,492,1.0,0.0,0,0,0,0.009615,0.00572,1.681,1.3405,0
29,4996,3161,5,5,1,1.9318,1,16.0,15,3126,4.58,0.9838,3213.1,35,1.0,72,5,6,1063,0.003386,0.0395,103.8576,28,17.5,0.0227,0.0091,4,0,0,0,0.062147,0.015625,47,0.7486,1.3772,0.34,33,9,30,808,1179,580,1.0,0.0,0,0,0,0.00565,0.005713,0.9889,0.9944,0
30,4995,3147,1,4,3,1.9598,2,16.0,15,3132,4.58,0.9813,3206.8,15,1.0,67,1,6,1027,0.002289,0.0433,47.9233,29,18.0,0.0192,0.0074,0,0,0,0,0.058824,0.015625,44,0.7344,1.3989,0.3393,31,7,29,806,1273,487,1.0,0.0,0,0,0,0.0,0.005169,0.0,0.5,0
31,4995,3232,0,0,3,1.924,2,15.9,3228,0,4.66,1.0096,3210.1,13,1.0,63,2,6,1012,0.001102,0.0487,40.1338,30,18.8,0.0184,0.0091,0,0,0,0,0.068182,0.015625,43,0.7708,1.4443,0.3403,29,6,28,831,1295,535,1.0,0.0,0,0,0,0.006494,0.005295,1.2263,1.1131,0
32,4992,3230,2,5,3,1.9735,1,16.0,3229,0,4.66,1.0101,3213.5,17,1.0,63,2,2,1032,0.002505,0.0499,51.8293,31,19.7,0.0233,0.0089,2,0,0,0,0.076246,0.015625,42,0.7951,1.4766,0.342,29,5,29,767,1350,525,1.0,0.0,0,0,0,0.008798,0.005629,1.5629,1.2815,0
33,4991,3136,0,0,3,1.9647,1,16.0,2,3129,4.59,0.9781,3206.1,7,1.0,60,0,3,994,0.00267,0.037,24.4755,32,20.9,0.0224,0.0084,0,0,0,0,0.057239,0.015625,41,0.727,1.517,0.3443,27,5,28,780,1295,489,1.0,0.0,0,0,0,0.003367,0.005414,0.622,0.811,0
34,4988,3246,0,0,3,1.9544,1,15.9,3296,0,4.61,1.0267,3215.2,5,1.0,56,0,4,950,0.001784,0.0532,16.8919,33,21.6,0.0241,0.0096,0,0,0,0,0.076412,0.015625,38,0.7955,1.5702,0.3483,26,3,27,804,1269,567,1.0,0.0,0,0,0,0.0,0.004898,0.0,0.5,0
35,4987,3197,1,5,3,1.9367,1,16.0,1,3191,4.57,0.9949,3213.4,6,1.0,56,2,2,970,0.000989,0.0503,16.0772,34,22.0,0.0237,0.0099,1,0,0,0,0.08805,0.015625,39,0.8225,1.6048,0.353,26,2,28,795,1295,525,1.0,0.0,0,0,0,0.003145,0.004731,0.6647,0.8323,0
36,4985,3145,2,4,1,1.8671,1,15.9,4,3131,4.57,0.9807,3206.9,14,1.0,59,5,2,984,0.001703,0.0449,43.0769,35,21.2,0.0211,0.0087,0,0,0,0,0.077844,0.015625,39,0.7993,1.6287,0.3543,26,2,31,833,1279,473,1.0,0.0,0,0,0,0.005988,0.004851,1.2345,1.1172,0
37,4982,3162,0,0,1,1.757,2,15.8,0,3162,4.57,0.9873,3202.6,0,1.0,56,0,3,979,0.002142,0.0456,0.0,36,23.0,0.0205,0.0089,0,0,0,0,0.087719,0.015625,38,0.8219,1.6498,0.3561,25,2,29,792,1190,530,1.0,0.0,0,0,0,0.014035,0.005725,2.4514,1.5,0
38,4981,3137,1,5,3,1.9072,1,16.0,5,3132,4.64,0.9814,3196.4,5,1.0,54,1,3,943,0.002969,0.0364,18.6567,37,24.0,0.0224,0.0083,1,0,0,0,0.061818,0.015625,36,0.7472,1.6898,0.3584,25,2,27,868,1187,525,1.0,0.0,0,0,0,0.0,0.00518,0.0,0.5,0
