window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop,thaw_mean_range,fb_died_share,fb_ema,fb_ratio,fb_multiplier,fb_warmup
71,4882,3093,2,5,1,1.9907,1,17.9,0,3083,4.55,0.9875,3132.1,10,1.0,53,2,2,995,0.001223,0.0383,32.4675,70,43.8,0.0209,0.0094,2,0,0,0,0.083067,0.015625,39,0.8119,5.5663,0.4233,25,5,23,817,1218,492,0.0009,0.9991,553.2,3.8,0.0525,0.00639,0.008948,0.7141,1.0858,0
72,4879,3067,2,4,3,1.9544,1,15.7,7,3060,4.55,0.9811,3125.9,7,1.0,53,2,2,991,0.001613,0.0412,24.5614,71,42.2,0.0207,0.0089,0,0,0,0,0.082474,0.015625,39,0.8105,5.6488,0.4234,25,5,23,822,1178,495,0.0011,0.9989,553.6,4.0,0.0527,0.0,0.008096,0.0,1.2,0
73,4878,3110,0,0,3,1.9299,2,15.7,9,3101,4.61,0.9954,3124.4,9,1.0,53,2,2,1006,0.001632,0.0388,23.7288,72,43.2,0.0214,0.0075,0,0,0,0,0.07767,0.015625,40,0.7988,5.7264,0.423,25,5,23,781,1248,502,0.0013,0.9987,552.3,3.9,0.0527,0.009709,0.00825,1.1769,0.9469,0
74,4877,3048,0,0,3,1.956,1,15.7,11,3037,4.56,0.9778,3117.1,11,1.0,53,4,4,999,0.001434,0.0455,39.7112,73,42.6,0.0198,0.0089,0,0,0,0,0.066434,0.015625,40,0.7648,5.7754,0.4219,24,4,25,745,1195,494,0.001,0.999,498.9,3.9,0.0531,0.003497,0.007797,0.4484,1.1655,0
75,4875,2984,0,0,3,1.864,1,15.6,9,2975,4.44,0.9612,3104.5,9,1.0,52,1,2,999,0.001588,0.0468,27.4914,74,44.3,0.0206,0.0081,0,0,0,0,0.056856,0.015625,39,0.7252,5.8189,0.4212,24,4,24,752,1230,467,0.0006,0.9994,466.1,4.0,0.0532,0.006689,0.007691,0.8697,1.0391,0
76,4872,3082,1,3,0,1.8876,1,15.7,8,3069,4.62,0.9935,3102.3,13,1.0,54,4,2,974,0.001402,0.0349,43.4783,75,43.0,0.019,0.007,0,1,0,0,0.060317,0.015625,39,0.741,5.876,0.4208,25,4,25,783,1255,513,0.0011,0.9989,442.4,3.9,0.0535,0.0,0.006959,0.0,1.2,0
77,4870,3079,2,5,1,1.8198,1,15.6,7,3063,4.56,0.9932,3100.1,16,1.0,55,2,1,990,0.001698,0.0405,51.7799,76,43.2,0.02,0.0081,1,0,0,0,0.068536,0.015625,39,0.772,5.9258,0.4205,25,4,26,798,1279,446,0.0019,0.9981,452.6,3.8,0.0534,0.0,0.006296,0.0,1.2,0
78,4868,3059,2,4,3,1.7723,2,15.7,3,3053,4.62,0.988,3096.2,6,1.0,54,3,4,1015,0.001709,0.0418,18.6335,77,44.7,0.0194,0.008,0,0,0,0,0.092537,0.015625,40,0.8311,5.9915,0.4208,25,4,25,805,1183,496,0.0014,0.9986,489.7,3.9,0.0532,0.008955,0.006549,1.3673,0.8898,0
79,4865,3118,1,5,3,1.6231,2,15.6,3130,0,4.57,1.011,3099.8,4,1.0,54,1,1,1000,0.001245,0.0405,11.2045,78,45.7,0.0196,0.0072,1,0,0,0,0.07027,0.015625,38,0.7776,6.0456,0.4206,25,4,25,800,1241,501,0.0007,0.9993,494.7,3.9,0.0529,0.005405,0.00644,0.8393,1.0482,0
80,4865,2958,1,5,3,1.7866,2,15.7,0,2953,4.51,0.9584,3086.3,5,1.0,53,1,2,1011,0.001595,0.0498,18.315,79,47.5,0.02,0.0088,1,0,0,0,0.060498,0.015625,39,0.7417,6.1025,0.4198,24,4,25,745,1197,452,0.0005,0.9995,539.7,4.0,0.054,0.010676,0.006844,1.56,0.832,0
81,4863,3133,0,0,3,1.836,2,15.6,3189,0,4.61,1.03,3096.1,0,1.0,53,0,0,989,0.001057,0.0369,0.0,80,48.5,0.0197,0.0081,0,0,0,0,0.100671,0.015625,39,0.8448,6.2032,0.4201,24,4,25,812,1218,520,0.0011,0.9989,566.7,3.9,0.054,0,0.006192,0.0,1.2,0
82,4861,3007,0,0,3,1.8454,1,15.6,5,3002,4.45,0.9739,3087.6,5,1.0,53,5,5,1011,0.001442,0.0435,13.986,81,49.1,0.021,0.0083,0,0,0,0,0.063545,0.015625,39,0.7541,6.26,0.4203,24,5,24,740,1213,486,0.0011,0.9989,542.4,3.9,0.054,0.010033,0.006558,1.53,0.841,0
83,4859,3132,2,5,3,1.7566,1,15.6,3133,0,4.66,1.0174,3093.2,14,1.0,55,2,0,1028,0.001279,0.0385,42.8135,82,48.3,0.0191,0.0075,2,0,0,0,0.068047,0.015625,38,0.7704,6.3281,0.4203,24,6,25,818,1239,510,0.0013,0.9987,523.6,4.0,0.0538,0,0.005933,0.0,1.2,0
