cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
96,30,0.2353,0.6814,0.8466,57.9478,0.3235,0.6964,0.8096,51.2547,0.0882,0.015,-0.037,-6.6931,loss_familiarity,1,hosted
97,30,0.2353,0.6628,0.8743,18.9121,0.2941,0.656,0.7582,15.993,0.0588,-0.0068,-0.1161,-2.9191,loss_spread|loss_familiarity,2,hosted
0,31,0.9118,0.6757,0.8601,12.8866,0.9091,0.6502,0.8643,15.9149,-0.0027,-0.0255,0.0042,3.0283,gain_familiarity,1,hosted
2,31,0.8824,0.6473,0.8336,9.6408,0.8182,0.658,0.8741,15.2893,-0.0642,0.0106,0.0406,5.6485,gain_familiarity,1,hosted
9,31,0.8235,0.688,0.8219,6.4878,0.7879,0.6692,0.865,8.8246,-0.0357,-0.0188,0.0431,2.3369,gain_familiarity,1,hosted
10,31,0.7059,0.6323,0.8552,9.063,0.697,0.6742,0.807,7.4748,-0.0089,0.0419,-0.0482,-1.5882,,0,hosted
19,31,0.9118,0.6377,0.8619,7.4733,0.8485,0.7254,0.8556,11.6889,-0.0633,0.0877,-0.0063,4.2156,gain_familiarity,1,hosted
22,31,1.0,0.6084,0.8261,7.191,1.0,0.6106,0.8484,5.7924,0.0,0.0021,0.0223,-1.3985,,0,hosted
26,31,0.7059,0.6485,0.7993,8.5313,0.697,0.6842,0.8709,12.7288,-0.0089,0.0357,0.0716,4.1975,gain_familiarity,1,hosted
41,31,1.0,0.6262,0.8258,7.6502,0.9394,0.6526,0.8564,9.5064,-0.0606,0.0264,0.0307,1.8562,,0,hosted
42,31,1.0,0.6857,0.8485,10.8936,0.9697,0.6455,0.8509,11.3576,-0.0303,-0.0403,0.0024,0.464,,0,hosted
44,31,0.6765,0.5874,0.788,6.8205,0.6061,0.6318,0.8313,7.0753,-0.0704,0.0444,0.0433,0.2548,,0,hosted
82,31,0.7647,0.7012,0.8601,15.5083,0.8182,0.6913,0.8509,12.1029,0.0535,-0.0099,-0.0092,-3.4054,loss_familiarity,1,hosted
86,31,0.7059,0.656,0.8479,16.1592,0.7879,0.6542,0.8619,13.5673,0.082,-0.0018,0.014,-2.5919,loss_familiarity,1,hosted
88,31,0.1176,0.7145,0.7847,7.8032,0.1515,0.6036,0.7698,7.1734,0.0339,-0.1109,-0.0149,-0.6298,loss_stability,1,hosted
90,31,0.2941,0.6534,0.8252,8.1238,0.3939,0.6734,0.8012,6.4296,0.0998,0.02,-0.024,-1.6942,,0,hosted
94,31,0.2059,0.6572,0.7926,13.3538,0.2121,0.6346,0.7282,4.9077,0.0062,-0.0226,-0.0644,-8.4461,loss_familiarity,1,hosted
96,31,0.3235,0.6964,0.8096,51.2547,0.3333,0.6644,0.7795,51.668,0.0098,-0.032,-0.0302,0.4133,,0,hosted
