seed,rate,window,k_star,J_star,eta,type_count_kstar,H_kstar,drift_kstar,flags
55,0.0005,17,2,-0.2144,0.4669,1,-0.0,0.2856,low_eta
55,0.0005,18,4,0.6083,0.4669,4,1.352,0.4173,low_eta
55,0.0005,19,4,0.1103,0.4669,3,0.6402,0.4701,low_eta
55,0.0005,20,2,-0.2521,0.4669,1,-0.0,0.2479,low_eta
55,0.0005,21,0,-0.5,0.4669,1,-0.0,0.0,low_eta
55,0.0005,22,2,1.5305,0.4669,3,1.5305,1.0,low_eta
55,0.0005,23,4,1.1652,0.4669,5,1.7534,0.7043,low_eta
55,0.0005,24,2,0.0069,0.4669,1,-0.0,0.5069,low_eta
55,0.0005,25,2,0.6885,0.4669,3,1.2516,0.4369,low_eta
123,0.0005,1,2,-0.2644,0.464,3,0.7356,,"drift_missing,low_eta"
123,0.0005,2,2,0.5074,0.464,3,1.1439,0.3635,low_eta
123,0.0005,3,2,0.3183,0.464,3,0.9406,0.3777,low_eta
123,0.0005,4,2,0.9631,0.464,4,1.7798,0.3443,low_eta
123,0.0005,5,2,0.0766,0.464,1,-0.0,0.5766,low_eta
123,0.0005,6,2,0.7277,0.464,3,1.2799,0.4478,low_eta
123,0.0005,7,2,-0.1052,0.464,3,0.6686,0.2262,low_eta
123,0.0005,8,2,0.4378,0.464,3,1.1033,0.3345,low_eta
123,0.0005,9,2,-0.115,0.464,1,-0.0,0.385,low_eta
123,0.0005,10,2,1.1671,0.464,4,1.7465,0.5816,low_eta
123,0.0005,11,4,0.921,0.464,4,1.4885,0.5935,low_eta
123,0.0005,12,4,-0.025,0.464,1,-0.0,0.475,low_eta
123,0.0005,13,2,0.291,0.464,3,0.953,0.338,low_eta
123,0.0005,14,2,-0.162,0.464,1,-0.0,0.338,low_eta
123,0.0005,15,2,0.1781,0.464,3,0.8659,0.3122,low_eta
123,0.0005,16,4,0.0215,0.464,3,0.7345,0.287,low_eta
123,0.0005,17,4,0.2692,0.464,3,0.8659,0.4033,low_eta
123,0.0005,18,2,-0.244,0.464,3,0.4822,0.2738,low_eta
123,0.0005,19,2,-0.3627,0.464,2,0.2864,0.1434,low_eta
123,0.0005,20,2,-0.1501,0.464,3,0.6686,0.1813,low_eta
123,0.0005,21,4,1.4624,0.464,5,2.1181,0.6368,low_eta
123,0.0005,22,2,0.2962,0.464,1,-0.0,0.7962,low_eta
123,0.0005,23,2,0.9871,0.464,4,1.6412,0.5069,low_eta
123,0.0005,24,2,-0.0461,0.464,3,0.6144,0.3395,low_eta
123,0.0005,25,2,-0.1032,0.464,2,0.5033,0.186,low_eta
314,0.0005,1,2,0.0194,0.4748,4,1.1804,,"drift_missing,low_eta"
314,0.0005,2,2,-0.0561,0.4748,3,0.7304,0.2135,low_eta
314,0.0005,3,4,0.231,0.4748,4,1.0975,0.2945,low_eta
314,0.0005,4,4,-0.2219,0.4748,2,0.3095,0.2611,low_eta
314,0.0005,5,2,0.4051,0.4748,4,1.2433,0.3228,low_eta
314,0.0005,6,2,-0.1102,0.4748,1,-0.0,0.3898,low_eta
314,0.0005,7,2,0.6205,0.4748,3,1.1995,0.421,low_eta
314,0.0005,8,2,-0.079,0.4748,1,-0.0,0.421,low_eta
314,0.0005,9,2,-0.1119,0.4748,3,0.6402,0.2479,low_eta
314,0.0005,10,4,-0.215,0.4748,2,0.2864,0.2911,low_eta
314,0.0005,11,4,1.2814,0.4748,4,1.8149,0.6275,low_eta
314,0.0005,12,2,0.2148,0.4748,2,0.5226,0.4847,low_eta
314,0.0005,13,4,0.4931,0.4748,5,1.4568,0.3288,low_eta
314,0.0005,14,4,0.7315,0.4748,4,1.6645,0.228,low_eta
314,0.0005,15,2,0.0069,0.4748,1,-0.0,0.5069,low_eta
314,0.0005,16,2,1.1864,0.4748,3,1.5657,0.6207,low_eta
314,0.0005,17,2,0.5221,0.4748,3,1.3472,0.1749,low_eta
314,0.0005,18,2,0.1539,0.4748,3,0.7345,0.4194,low_eta
314,0.0005,19,2,0.0457,0.4748,3,0.7732,0.2725,low_eta
