seed,rate,window,k,eta,type_count,H_k,drift_k,J_k,flags
55,0.0,1,0,0.4869,1,-0.0,,-0.5,"drift_missing,low_eta"
55,0.0,1,1,0.4869,3,0.4645,,-0.5355,"drift_missing,low_eta"
55,0.0,1,2,0.4869,4,0.8141,,-0.3469,"drift_missing,low_eta"
55,0.0,1,3,0.4869,4,0.8141,,-0.3469,"drift_missing,low_eta"
55,0.0,1,4,0.4869,4,0.8141,,-0.3469,"drift_missing,low_eta"
55,0.0,2,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,2,1,0.4869,3,0.2625,0.0843,-0.6532,low_eta
55,0.0,2,2,0.4869,4,0.489,0.1054,-0.5666,low_eta
55,0.0,2,3,0.4869,4,0.489,0.1054,-0.5666,low_eta
55,0.0,2,4,0.4869,4,0.489,0.1054,-0.5666,low_eta
55,0.0,3,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,3,1,0.4869,2,0.4262,0.1411,-0.2252,low_eta
55,0.0,3,2,0.4869,3,0.6784,0.1424,-0.1792,low_eta
55,0.0,3,3,0.4869,3,0.6784,0.1424,-0.1792,low_eta
55,0.0,3,4,0.4869,3,0.6784,0.1424,-0.1792,low_eta
55,0.0,4,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,4,1,0.4869,2,0.6723,0.1134,-0.0068,low_eta
55,0.0,4,2,0.4869,3,1.1596,0.1736,0.3332,low_eta
55,0.0,4,3,0.4869,3,1.1596,0.1736,0.3332,low_eta
55,0.0,4,4,0.4869,3,1.1596,0.1736,0.3332,low_eta
55,0.0,5,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,5,1,0.4869,2,0.5033,0.3804,0.0912,low_eta
55,0.0,5,2,0.4869,3,0.8031,0.3947,0.1978,low_eta
55,0.0,5,3,0.4869,3,0.8031,0.3947,0.1978,low_eta
55,0.0,5,4,0.4869,3,0.8031,0.3947,0.1978,low_eta
55,0.0,6,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,6,1,0.4869,3,0.9219,0.2278,0.1497,low_eta
55,0.0,6,2,0.4869,4,1.571,0.3086,0.7186,low_eta
55,0.0,6,3,0.4869,4,1.571,0.3086,0.7186,low_eta
55,0.0,6,4,0.4869,4,1.571,0.3086,0.7186,low_eta
55,0.0,7,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,7,1,0.4869,1,-0.0,0.3287,-0.1713,low_eta
55,0.0,7,2,0.4869,1,-0.0,0.4863,-0.0137,low_eta
55,0.0,7,3,0.4869,1,-0.0,0.4863,-0.0137,low_eta
55,0.0,7,4,0.4869,1,-0.0,0.4863,-0.0137,low_eta
55,0.0,8,0,0.4869,1,-0.0,0.0,-0.5,low_eta
55,0.0,8,1,0.4869,2,0.3534,0.1848,-0.2543,low_eta
55,0.0,8,2,0.4869,3,0.6998,0.2648,-0.0354,low_eta
55,0.0,8,3,0.4869,3,0.6998,0.2648,-0.0354,low_eta
