seed,window,rate,frac_hit_C,drift4_hit,drift4_nohit,ratio
2024,7,0.0005,0.2,,0.3487,
2024,8,0.0005,0.0,,0.2285,
2024,9,0.0005,0.0,,0.3287,
2024,10,0.0005,0.0,,0.0,
2024,11,0.0005,0.0,,0.0,
2024,12,0.0005,0.0,,0.298,
2024,13,0.0005,0.0,,0.3803,
2024,14,0.0005,0.0,,0.2768,
2024,15,0.0005,0.0,,0.3287,
2024,16,0.0005,0.0769,,0.2073,
2024,17,0.0005,0.0,,0.2254,
2024,18,0.0005,0.0,,0.3553,
2024,19,0.0005,0.0,,0.0,
2024,20,0.0005,0.0,,0.3174,
2024,21,0.0005,0.0,,0.2459,
2024,22,0.0005,0.0,,0.2511,
2024,23,0.0005,0.0455,,0.1755,
2024,24,0.0005,0.0,,0.2198,
2024,25,0.0005,0.0,,0.4235,
7,2,0.001,0.0127,0.5579,0.208,2.682
7,3,0.001,0.069,0.5579,0.2386,2.338
7,4,0.001,0.0,,0.137,
7,5,0.001,0.1111,,0.1788,
7,6,0.001,0.0,,0.271,
7,7,0.001,0.0,,0.1449,
7,8,0.001,0.0,,0.1964,
7,9,0.001,0.0,,0.3085,
7,10,0.001,0.0909,,0.4725,
7,11,0.001,0.0,,0.2331,
7,12,0.001,0.0833,,0.4033,
7,13,0.001,0.0,,0.3122,
7,14,0.001,0.0,,0.5974,
7,15,0.001,0.0,,0.5974,
7,16,0.001,0.0,,0.336,
7,17,0.001,0.0,,0.2568,
7,18,0.001,0.1765,,0.2407,
7,19,0.001,0.0,,0.6402,
7,20,0.001,0.0,,0.2648,
7,21,0.001,0.0,,0.5707,
7,22,0.001,0.0,,0.3824,
7,23,0.001,0.0625,,0.4892,
7,24,0.001,0.0833,0.0,0.1571,
7,25,0.001,0.0,,0.5256,
42,2,0.001,0.0,,0.2692,
42,3,0.001,0.037,,0.1335,
42,4,0.001,0.0909,0.0,0.2628,
42,5,0.001,0.0,,0.2596,
42,6,0.001,0.0952,,0.2341,
42,7,0.001,0.0667,0.0,0.074,
42,8,0.001,0.1667,0.0,0.363,
42,9,0.001,0.0435,0.0,0.3141,
42,10,0.001,0.0,,0.2751,
42,11,0.001,0.0,,0.5098,
42,12,0.001,0.0435,,0.2496,
