window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
75,4952,3019,0,0,3,1.9038,2,12.7,0,3014,4.46,0.9854,3063.6,5,1.0,42,0,2,838,0.001786,0.0516,24.0385,74,42.6,0.0262,0.011,0,1,0,0,0.098592,0.015625,30,0.8415,4.4153,0.4379,0.003
76,4952,3002,2,5,3,1.9166,1,12.7,5,2992,4.4,0.9818,3057.8,10,1.0,45,4,1,869,0.001744,0.0422,43.1034,75,40.7,0.0238,0.0098,1,0,0,0,0.084388,0.015625,30,0.8148,4.4912,0.4395,0.003
77,4950,3111,1,3,3,1.9403,1,12.7,3104,0,4.56,1.0157,3062.8,7,1.0,44,1,2,882,0.00187,0.053,19.6078,76,42.6,0.0234,0.0106,0,0,0,0,0.106061,0.015625,30,0.8527,4.5783,0.4418,0.003
78,4948,3076,1,4,3,1.9183,2,12.7,3062,0,4.51,1.0039,3064.1,14,1.0,47,6,3,884,0.001601,0.0458,51.2821,77,40.6,0.0237,0.0091,0,0,0,0,0.073944,0.015625,31,0.7887,4.6523,0.443,0.003
79,4946,2982,1,5,3,1.9776,2,12.6,5,2972,4.44,0.9757,3056.3,10,1.0,45,1,3,892,0.001861,0.0611,39.5257,78,42.9,0.025,0.0111,1,1,0,0,0.083969,0.015625,32,0.8139,4.7324,0.4438,0.003
80,4945,2996,0,0,3,1.9463,2,12.7,6,2985,4.5,0.9821,3050.5,11,1.0,44,1,2,890,0.001713,0.0455,39.3701,79,44.8,0.0253,0.0098,0,0,0,0,0.079545,0.015625,30,0.8036,4.812,0.4451,0.003
81,4944,3083,1,4,1,1.9144,1,12.7,3074,0,4.44,1.0096,3053.6,9,1.0,44,2,2,895,0.001522,0.0526,36.1991,80,45.6,0.0256,0.0122,0,1,0,0,0.083333,0.015625,30,0.8125,4.8953,0.4466,0.003
82,4942,3101,2,5,2,1.8871,1,12.7,3089,0,4.45,1.014,3058.1,12,1.0,44,2,2,905,0.001798,0.0407,41.958,81,46.4,0.0242,0.0077,1,0,0,0,0.081356,0.015625,30,0.8079,4.9597,0.4474,0.003
83,4940,3025,0,0,1,1.9852,2,12.6,0,3025,4.46,0.9902,3055.0,0,1.0,44,0,0,882,0.001665,0.0558,0.0,82,47.4,0.0251,0.0103,0,0,0,0,0.085837,0.015625,30,0.818,5.0456,0.4487,0.003
84,4940,3045,1,5,0,1.9532,1,12.7,0,3040,4.44,0.997,3054.0,5,1.0,44,1,1,889,0.00161,0.0524,20.4082,83,46.5,0.0248,0.0095,1,0,0,0,0.096774,0.015625,29,0.8385,5.1343,0.4506,0.003
