seed,from,to,familiarity
0,358,336,1.0738
0,358,344,1.0619
0,358,61,32.9868
0,358,392,2.043
0,358,386,2.1913
0,358,2,0.6351
0,358,197,0.7241
0,358,381,1.0237
0,358,352,7.0992
0,358,383,18.3736
0,358,26,39.1498
0,367,353,32.9564
0,367,26,22.1463
0,367,61,11.5223
0,367,166,6.047
0,367,197,25.4711
0,367,354,21.811
0,367,258,37.9421
0,367,188,9.479
0,367,344,4.3799
0,367,297,0.6451
0,367,368,7.6798
0,367,15,10.8303
0,367,264,7.0315
0,367,276,17.273
0,367,58,36.8164
0,367,0,8.1116
0,367,352,20.4644
0,367,358,5.8649
0,367,59,14.3974
0,367,362,6.3216
0,367,375,18.0466
0,367,383,3.847
0,367,314,1.0698
0,367,325,19.4922
0,367,336,28.0803
0,367,372,14.8207
0,367,2,11.9414
0,367,379,76.2459
0,367,396,1.2349
0,367,391,4.5077
0,367,390,1.4387
0,367,407,1.5662
0,367,384,51.425
0,367,392,2.5774
0,367,128,4.7094
0,367,398,3.5536
0,367,402,1.4327
0,367,397,0.6016
0,367,408,6.2706
0,367,413,4.3013
0,367,411,3.4245
0,367,409,0.8431
0,367,386,2.3594
0,367,412,10.0564
0,367,418,5.3276
0,367,423,11.0731
0,367,419,1.8571
0,367,425,20.0646
0,367,424,52.2197
0,367,434,9.6099
0,367,429,9.6099
0,367,432,7.5192
0,367,420,8.5265
0,368,188,20.9809
0,368,59,35.3826
0,368,336,18.2288
0,368,128,8.8799
0,368,166,5.748
0,368,15,37.6183
0,368,258,14.1518
0,368,264,50.0441
0,368,353,20.4322
0,368,367,7.6798
0,368,325,11.5975
0,368,61,4.3502
0,368,354,12.7362
0,368,197,9.2498
0,368,26,48.0759
0,368,352,5.63
0,368,276,22.7268
0,368,58,35.8071
0,368,314,1.0108
0,368,0,12.2966
0,368,297,12.6713
0,368,372,35.0847
0,368,379,15.6264
0,368,386,1.6823
0,368,398,3.0149
0,368,358,10.823
0,368,375,12.2517
0,368,392,0.5142
0,368,403,0.8639
0,368,413,12.4726
0,368,384,5.6101
0,368,2,13.2378
0,368,412,5.2703
0,368,411,2.2437
0,368,408,0.7662
0,368,423,20.9865
0,368,420,30.2955
0,368,418,6.8425
0,368,425,10.8136
0,368,424,16.29
0,368,431,4.98
0,372,379,35.1977
0,372,188,8.3923
0,372,15,51.8945
0,372,352,9.0334
0,372,258,5.6414
0,372,336,5.2437
0,372,197,32.3451
0,372,26,56.1153
0,372,362,11.674
0,372,381,5.2404
0,372,353,39.4966
0,372,166,8.7328
0,372,368,35.0847
0,372,59,28.1778
0,372,276,20.6378
0,372,354,51.3263
0,372,358,17.5097
0,372,367,15.6344
0,372,264,35.1147
0,372,325,39.4594
0,372,378,0.5788
0,372,58,63.6623
0,372,314,1.9728
0,372,2,37.0438
0,372,375,1.4358
0,372,61,16.8833
0,372,397,0.5159
0,372,398,0.5634
0,372,386,7.0526
0,372,128,49.8468
0,372,0,13.7029
0,372,403,1.115
0,372,297,11.566
0,372,408,1.901
0,372,384,1.5329
0,372,413,6.0456
0,372,407,4.1179
0,372,383,1.314
0,372,420,13.2112
0,372,411,2.4432
0,372,412,27.4947
0,372,423,29.3131
0,372,418,5.4311
0,372,426,26.146
0,372,425,43.3334
0,372,432,14.5251
0,372,429,7.4066
0,372,434,3.988
0,379,380,1.8864
0,379,336,0.5041
0,379,383,0.5815
0,379,403,1.5468
0,379,354,4.8436
0,379,258,13.0139
0,379,15,2.7227
0,379,372,9.1605
0,379,423,11.5672
0,379,375,11.4111
0,379,413,18.0843
0,379,353,2.9924
0,379,367,75.1146
0,383,336,0.5988
0,383,380,0.5815
0,383,197,0.7071
0,383,314,4.1979
0,383,26,5.762
0,383,0,24.8094
0,383,358,18.3736
0,383,367,2.9405
0,384,401,4.036
0,384,353,10.2568
0,384,276,0.8117
0,384,368,1.2915
0,384,314,3.7175
0,384,423,0.5186
0,384,58,29.2273
0,384,325,6.4312
0,384,427,16.6868
0,384,375,0.8922
0,384,367,35.6986
0,384,264,8.8749
0,411,413,2.723
0,411,367,3.4245
0,411,59,3.71
0,411,344,0.6541
0,411,419,4.0151
0,411,2,5.9168
0,411,0,0.5833
0,411,197,20.0199
0,411,336,48.5348
0,412,409,2.1231
0,412,410,0.8079
0,412,128,2.6878
0,412,2,29.4563
0,412,59,18.3013
0,412,391,0.6234
0,412,15,5.9269
0,412,197,10.095
0,412,258,12.1853
0,412,432,2.8321
0,412,367,6.9129
0,412,353,16.2396
0,412,276,3.9483
0,413,411,2.723
0,413,264,3.5148
0,413,352,1.147
0,413,336,26.2461
0,413,353,2.4892
0,413,354,15.6501
0,413,425,37.605
0,413,379,18.0843
0,413,197,13.8401
0,418,423,8.1861
0,418,367,2.9591
0,418,409,0.6038
0,418,2,2.4605
0,418,354,26.377
0,418,15,15.2475
0,418,362,2.6334
0,418,353,11.1156
0,418,59,3.6357
0,418,58,3.8608
0,418,197,13.7366
0,418,420,7.6176
0,418,297,11.021
0,418,61,2.6935
0,418,434,21.4185
0,418,429,21.4185
0,418,0,9.638
0,418,368,2.0881
0,420,419,5.0469
0,420,368,14.1311
0,420,58,16.323
0,420,372,10.4468
0,420,418,7.6176
0,420,59,27.8562
0,420,128,28.4271
0,420,426,5.1894
0,420,434,18.1506
0,423,418,11.0981
0,423,367,6.67
0,423,379,11.5672
0,423,15,13.4951
0,423,384,0.5186
0,423,434,21.4185
0,424,432,17.2632
0,424,431,17.2632
