atom,category,finding_direction,observed_rank1_sim_mean,observed_n_strong_seeds,observed_n_weak_seeds,uniform_baseline_mean,uniform_baseline_std,shuffled_baseline_mean,shuffled_baseline_std,delta_uniform,delta_shuffled,z_score_uniform,z_score_shuffled,direction_consistency_24,true_finding_uniform,true_finding_shuffled,true_finding_both
WLD.uncultured,WLD,below_baseline,0.33083880071838695,0,0,0.5145109854638577,0.025207425686667076,0.5843315807481607,0.038651802471850266,-0.1836721847454707,-0.25349278002977377,-7.2864316661506665,-6.558368919907166,True,True,True,True
LOG.effect,LOG,below_baseline,0.5085560952623686,15,0,0.6939035579562187,0.02585546332483986,0.6197525610526403,0.03171274825887246,-0.18534746269385016,-0.11119646579027176,-7.168599547616042,-3.5063648499515234,True,True,True,True
TIM.indefinite,TIM,below_baseline,0.40445034702618915,0,0,0.5928375323613485,0.02652295302223337,0.553330252567927,0.046957450805711204,-0.18838718533515936,-0.14887990554173786,-7.102798288608369,-3.1705278499409157,True,True,True,True
ACT.receive,ACT,below_baseline,0.3458256522814433,0,0,0.5639523193240166,0.031177847490532467,0.5500011506179968,0.030504055246642844,-0.21812666704257327,-0.20417549833655352,-6.996206749321296,-6.693388688345766,True,True,True,True
EMO.trust,EMO,below_baseline,0.28462839250763255,0,22,0.5063961856067181,0.03173975778909503,0.5303611954053243,0.033171189852835965,-0.2217677930990855,-0.24573280289769178,-6.987066334049948,-7.408018946196556,True,True,True,True
ELM.sky,ELM,below_baseline,0.48602450763185817,3,0,0.6324284796913465,0.020987065765038795,0.5378398224711418,0.035663343341038184,-0.14640397205948835,-0.051815314839283644,-6.975914294001724,-1.4529012141062843,True,True,False,False
BEI.parent,BEI,below_baseline,0.3572698272764683,0,0,0.5342445919911066,0.026063992596547608,0.5643987183769544,0.037404088050823806,-0.17697476471463836,-0.20712889110048616,-6.790009783001555,-5.537600350502978,True,True,True,True
PRP.deep,PRP,below_baseline,0.5166457581023375,16,0,0.675377202530702,0.023892700169586823,0.6055997883280119,0.033348931704355815,-0.1587314444283645,-0.08895403022567439,-6.643512173245903,-2.6673727066962027,True,True,True,True
EMO.despair,EMO,below_baseline,0.2661309006313483,0,24,0.43906035646796227,0.026508498312342997,0.5837717379132906,0.03417690164865781,-0.17292945583661395,-0.3176408372819423,-6.523547799616164,-9.294020872556674,True,True,True,True
WLD.outer_realm,WLD,below_baseline,0.46215302621324855,0,0,0.5756605913241705,0.017433166800106537,0.4916153885424137,0.034217652214210054,-0.11350756511092192,-0.02946236232916516,-6.511012394502429,-0.8610281659514297,True,True,False,False
