window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
22,5000,3116,2,0,2,5,0.2857,2,0,0,0,0,0,0,0,3,1.9175,-0.061,2,45.9
23,5000,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8276,-0.0898,2,47.1
24,5000,3126,3,0,3,5,2.0,1,0,0,0,0,0,0,0,1,1.773,-0.0547,1,47.7
25,5000,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7925,0.0195,1,48.5
26,4999,3195,2,0,2,5,0.48,1,0,0,0,0,0,0,0,3,1.9463,0.1538,1,48.4
27,4999,3048,3,0,3,5,2.0,1,0,0,0,0,0,0,0,3,1.9864,0.0402,1,48.8
28,4999,3035,2,0,2,3,0.0,2,0,0,0,0,0,0,0,3,1.9938,0.0073,2,49.4
29,4999,3076,1,0,1,5,0.8889,1,0,0,0,0,0,0,0,1,1.998,0.0042,2,50.8
30,4999,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9672,-0.0308,2,49.8
31,4998,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9403,-0.0269,1,51.7
32,4997,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9629,0.0226,1,51.9
33,4997,3176,2,0,2,5,1.1111,1,0,0,0,0,0,0,0,3,1.8881,-0.0748,1,51.5
34,4997,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8838,-0.0043,1,51.9
35,4993,3101,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.929,0.0452,1,51.4
36,4993,3070,1,0,1,5,0.1667,1,0,0,0,0,0,0,0,3,1.9443,0.0154,1,50.2
37,4992,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.975,0.0307,2,53.3
38,4989,3085,1,0,1,3,0.381,1,0,0,0,0,0,0,0,3,1.9764,0.0014,1,52.4
39,4986,3036,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9742,-0.0022,1,52.4
40,4985,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9259,-0.0483,1,53.0
41,4985,3198,1,0,1,3,0.8889,1,0,0,0,0,0,0,0,3,1.9561,0.0302,1,52.5
42,4984,3015,4,0,4,5,1.3333,1,0,0,0,0,0,0,0,1,1.9626,0.0065,1,55.4
43,4983,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8498,-0.1128,2,54.2
44,4983,3052,2,0,2,5,0.9,1,0,0,0,0,0,0,0,1,1.9542,0.1044,1,52.8
45,4982,3027,3,0,3,5,1.3333,1,0,0,0,0,0,0,0,3,1.9411,-0.0131,1,54.8
