seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
4,205,32,50,18,False,-1.0126,5,0.8163,0.6465,0.7762,6.3886,40,18.8,10.3,53.96,795,social|stable|focused_att|dead
4,206,32,33,1,False,2.126,2,0.0566,0.6798,0.8237,19.1842,3,7.1,3.4,23.46,88,isolated|stable|deep_conn|dead
4,208,32,33,1,False,2.1011,2,0.0566,0.6779,0.8201,17.861,3,6.6,3.1,23.46,80,isolated|stable|deep_conn|dead
4,210,34,67,33,False,-1.7222,4,0.6792,0.6989,0.8391,3.4899,36,16.3,7.0,33.51,347,social|stable|dead
4,211,34,38,4,False,1.2407,2,0.2128,0.7152,0.7783,8.0133,10,6.3,2.5,40.03,104,stable|focused_att|dead
4,212,34,35,1,False,0.1879,2,0.0417,0.6295,0.7815,15.5931,2,5.7,3.3,21.16,65,isolated|stable|focused_att|deep_conn|dead
4,215,34,41,7,False,-1.4738,2,0.2292,0.6465,0.7808,4.7616,11,8.0,4.4,23.64,169,stable|focused_att|dead
4,216,34,35,1,False,1.8275,2,0.0833,0.5786,0.7258,22.0025,4,7.8,5.6,39.83,97,isolated|stable|focused_att|deep_conn|dead
4,218,34,36,2,False,-2.7061,2,0.16,0.6641,0.7545,13.6428,8,6.7,3.4,32.24,162,stable|focused_att|deep_conn|dead
4,220,35,37,2,False,-1.5347,2,0.14,0.6753,0.7128,15.1912,7,6.4,3.1,40.64,131,isolated|stable|focused_att|deep_conn|dead
4,221,35,38,3,False,-0.9449,2,0.1915,0.635,0.7599,3.8386,9,8.1,4.6,15.0,159,stable|focused_att|dead
4,225,35,40,5,False,-0.0494,2,0.2553,0.7013,0.7717,4.273,12,8.6,3.7,17.9,169,stable|focused_att|dead
4,227,35,36,1,False,-1.7658,2,0.1,0.6733,0.8041,24.3349,5,7.2,3.5,39.78,88,isolated|stable|deep_conn|dead
