window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
54,4940,3210,1,3,1,1.9679,2,16.3,3217,0,4.64,1.0144,3182.1,11,1.0,63,6,6,1131,0.001502,0.0358,28.9855,53,31.2,0.0171,0.0068,0,1,0,0,0.068871,0.015625,42,0.7731,2.4844,0.3896,26,3,34,796,1293,509,0.0009,0.9991,2756.2,1.6
55,4934,3060,1,5,1,1.9176,2,16.3,3,3053,4.48,0.9652,3170.4,7,1.0,60,1,4,1068,0.001574,0.0345,16.2866,54,31.4,0.0188,0.0075,1,2,0,0,0.065831,0.015625,39,0.7626,2.5377,0.3898,26,3,31,752,1183,574,0.0008,0.9992,2842.2,1.6
56,4931,3091,2,5,3,1.8854,2,16.5,8,3078,4.53,0.9773,3162.9,13,1.0,64,6,2,1094,0.001585,0.0346,41.9355,55,29.5,0.0181,0.0076,1,0,0,0,0.078616,0.015625,41,0.8013,2.5817,0.3897,26,4,34,759,1257,509,0.001,0.999,3033.0,1.3
57,4928,3148,1,3,1,1.943,2,16.3,10,3138,4.61,0.9957,3161.5,10,1.0,66,5,3,1125,0.001519,0.035,27.6243,56,29.6,0.0179,0.0071,0,0,0,0,0.075472,0.015625,42,0.793,2.6302,0.3902,28,5,33,842,1231,505,0.0009,0.9991,2621.7,1.8
58,4927,3143,0,0,1,1.8887,2,16.3,4,3139,4.57,0.9947,3159.7,4,1.0,63,0,3,1121,0.001261,0.0381,12.3839,57,31.8,0.0176,0.0081,0,1,0,0,0.073314,0.015625,42,0.7869,2.6918,0.3915,26,5,32,809,1240,520,0.0007,0.9993,2624.2,2.1
59,4923,3079,0,0,0,1.868,1,16.2,0,3079,4.49,0.9768,3152.0,0,1.0,60,0,3,1083,0.001374,0.0402,0.0,58,34.3,0.0196,0.0082,0,0,0,0,0.071207,0.015625,42,0.7806,2.7537,0.3929,25,3,32,816,1192,496,0.0008,0.9992,2806.0,1.8
60,4922,3201,0,0,3,1.9166,1,16.2,3212,0,4.68,1.0172,3157.7,0,1.0,58,0,2,1065,0.001384,0.0401,0.0,59,36.3,0.0212,0.0088,0,0,0,0,0.08642,0.015625,40,0.8192,2.8402,0.3952,23,3,32,835,1240,527,0.0008,0.9992,2747.7,1.8
61,4917,3125,0,0,3,1.8512,1,16.4,1,3124,4.58,0.9906,3154.6,1,1.0,57,1,2,1060,0.001314,0.0404,0.0,60,37.9,0.0214,0.0085,0,0,0,0,0.083851,0.015625,40,0.8137,2.8867,0.3971,23,3,31,790,1253,537,0.0009,0.9991,2857.9,1.8
62,4915,3159,0,0,3,1.766,1,16.5,3158,0,4.63,1.0027,3155.5,6,1.0,59,6,4,1056,0.00127,0.04,14.0351,61,36.6,0.0195,0.0076,0,0,0,0,0.07,0.015625,41,0.7768,2.9267,0.3979,23,4,32,818,1243,508,0.0013,0.9987,2824.5,1.6
63,4915,3176,1,5,1,1.7346,1,16.5,3183,0,4.64,1.0102,3158.9,8,1.0,59,1,1,1060,0.001259,0.0385,26.5781,62,37.6,0.0192,0.0082,1,0,0,0,0.076923,0.015625,41,0.7969,2.9652,0.3984,23,4,32,805,1253,519,0.0008,0.9992,2719.5,1.9
